iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,14.650,19,23,2150998.290,0.981116,12829.686823,12734.453755,1560.304948,423175.772
2,41.715,27,46,1957327.404,0.992101,7435.767107,7432.155279,231.733421,433852.735
3,62.811,19,46,1909589.429,1.011500,4140.653957,4139.373720,102.958245,451644.655
4,80.779,21,22,1896557.247,1.024533,2245.941075,2245.257755,55.397913,463770.077
5,107.856,29,61,1892923.775,1.032134,1208.281405,1207.984753,26.772961,470867.913
6,122.521,18,27,1891915.660,1.036376,642.145935,641.996040,13.873947,474878.269
7,157.553,19,79,1891632.363,1.038696,340.441091,340.356425,7.592104,477066.015
8,210.130,30,101,1891553.491,1.039938,180.097402,180.057010,3.814076,478242.293
9,237.074,18,50,1891531.668,1.040593,95.242309,95.219119,2.101608,478864.638
10,295.051,29,119,1891525.526,1.040945,50.223573,50.212186,1.069427,479197.045
11,315.272,20,37,1891523.832,1.041128,26.581396,26.574676,0.597681,479371.445
12,342.966,31,46,1891523.359,1.041226,14.008423,14.005246,0.298341,479464.149
13,382.122,18,89,1891523.226,1.041278,7.389728,7.387865,0.165901,479513.194
14,426.411,30,115,1891523.189,1.041305,3.895885,3.895077,0.079335,479539.079
15,450.278,29,55,1891523.179,1.041319,2.057372,2.056851,0.046297,479552.705
16,485.936,20,96,1891523.176,1.041327,1.086110,1.085851,0.023713,479559.899
17,541.364,37,111,1891523.175,1.041331,0.572630,0.572505,0.012002,479563.692
18,581.421,29,114,1891523.175,1.041333,0.302453,0.302381,0.006622,479565.693
19,634.685,29,116,1891523.175,1.041334,0.159624,0.159586,0.003502,479566.749
20,692.881,32,118,1891523.175,1.041335,0.084198,0.084177,0.001847,479567.307
21,744.517,33,115,1891523.175,1.041335,0.044450,0.044439,0.000996,479567.602
