iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,748.495,0,0,11520631.727,0.931399,17335.316311,17335.316311,0.000000,3347125.802
2,1503.833,0,0,9173073.193,0.891815,14999.793784,14999.793784,0.000000,2624877.218
3,2246.772,0,0,7876423.894,0.879044,13783.478191,13783.478191,0.000000,2344494.016
4,2987.649,0,0,7103773.434,0.869304,12563.123739,12563.123739,0.000000,2242975.595
5,3787.957,0,0,6566831.647,0.862729,11603.216521,11603.216521,0.000000,2189528.533
6,4539.434,0,0,6172694.000,0.858005,10815.337811,10815.337811,0.000000,2156878.397
7,5285.585,0,0,5872611.446,0.854491,10137.920127,10137.920127,0.000000,2135325.019
8,6030.193,0,0,5637787.249,0.851815,9537.307896,9537.307896,0.000000,2120341.162
9,6773.903,0,0,5450068.290,0.849735,8994.271397,8994.271397,0.000000,2109502.941
10,7513.446,0,0,5297447.695,0.848092,8496.982840,8496.982840,0.000000,2101416.804
11,8310.504,0,0,5171665.995,0.846780,8037.599387,8037.599387,0.000000,2095236.653
12,9050.494,0,0,5066850.597,0.845723,7610.543787,7610.543787,0.000000,2090422.211
13,9796.325,0,0,4978707.397,0.844867,7211.617359,7211.617359,0.000000,2086613.137
14,10527.377,0,0,4904020.740,0.844171,6837.527447,6837.527447,0.000000,2083560.604
15,11264.329,0,0,4840332.804,0.843605,6485.621259,6485.621259,0.000000,2081087.974
16,12002.966,0,0,4785731.496,0.843143,6153.723229,6153.723229,0.000000,2079066.927
17,12730.231,0,0,4738706.218,0.842767,5840.026297,5840.026297,0.000000,2077402.356
18,13468.414,0,0,4698047.417,0.842460,5543.013621,5543.013621,0.000000,2076022.536
19,14212.089,0,0,4662775.120,0.842209,5261.399442,5261.399442,0.000000,2074872.562
20,15002.278,0,0,4632087.093,0.842004,4994.083225,4994.083225,0.000000,2073909.877
21,15746.191,0,0,4605320.582,0.841836,4740.113625,4740.113625,0.000000,2073101.114
22,16490.109,0,0,4581923.622,0.841699,4498.660002,4498.660002,0.000000,2072419.834
23,17229.756,0,0,4561433.221,0.841587,4268.989786,4268.989786,0.000000,2071844.863
24,17970.017,0,0,4543458.543,0.841496,4050.450442,4050.450442,0.000000,2071359.064
25,18715.319,0,0,4527667.804,0.841421,3842.455059,3842.455059,0.000000,2070948.433
26,19457.666,0,0,4513777.942,0.841361,3644.470811,3644.470811,0.000000,2070601.413
27,20198.166,0,0,4501546.389,0.841312,3456.009709,3456.009709,0.000000,2070308.397
28,20937.629,0,0,4490764.465,0.841273,3276.621175,3276.621175,0.000000,2070061.337
29,21685.433,0,0,4481252.013,0.841242,3105.886088,3105.886088,0.000000,2069853.460
30,22420.845,0,0,4472853.020,0.841217,2943.412003,2943.412003,0.000000,2069679.033
31,23151.635,0,0,4465432.011,0.841198,2788.829327,2788.829327,0.000000,2069533.189
32,23886.620,0,0,4458871.058,0.841184,2641.788251,2641.788251,0.000000,2069411.781
33,24614.411,0,0,4453067.278,0.841173,2501.956303,2501.956303,0.000000,2069311.265
34,25341.350,0,0,4447930.747,0.841166,2369.016390,2369.016390,0.000000,2069228.604
35,26075.832,0,0,4443382.727,0.841162,2242.665240,2242.665240,0.000000,2069161.194
36,26807.225,0,0,4439354.168,0.841159,2122.612159,2122.612159,0.000000,2069106.793
37,27536.525,0,0,4435784.438,0.841159,2008.578038,2008.578038,0.000000,2069063.472
38,28291.410,0,0,4432620.227,0.841159,1900.294561,1900.294561,0.000000,2069029.567
39,29022.675,0,0,4429814.611,0.841161,1797.503575,1797.503575,0.000000,2069003.640
40,29762.721,0,0,4427326.253,0.841164,1699.956575,1699.956575,0.000000,2068984.450
41,30497.885,0,0,4425118.700,0.841168,1607.414287,1607.414287,0.000000,2068970.924
42,31243.195,0,0,4423159.786,0.841172,1519.646328,1519.646328,0.000000,2068962.136
43,31971.933,0,0,4421421.103,0.841177,1436.430911,1436.430911,0.000000,2068957.285
44,32707.628,0,0,4419877.552,0.841182,1357.554599,1357.554599,0.000000,2068955.680
45,33446.249,0,0,4418506.943,0.841188,1282.812076,1282.812076,0.000000,2068956.723
46,34185.161,0,0,4417289.648,0.841193,1212.005949,1212.005949,0.000000,2068959.901
47,34932.241,0,0,4416208.299,0.841198,1144.946555,1144.946555,0.000000,2068964.771
48,35671.936,0,0,4415247.518,0.841204,1081.451776,1081.451776,0.000000,2068970.954
