iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,2.694,8,3,37267084.466,2.281744,215465.950264,54278.709878,208517.139289,17520960.415
2,6.468,10,6,32837956.470,1.595890,75638.311122,19072.734877,73194.158877,9547412.342
3,13.659,13,17,31976807.973,1.407118,21613.678088,6380.479923,20650.437197,8366597.180
4,22.713,19,20,31882191.153,1.367942,10021.416129,2085.420755,9802.030479,8212290.541
5,31.927,20,20,31867788.173,1.356713,5853.627751,838.788038,5793.219526,8104425.650
6,41.122,20,20,31863069.651,1.358913,3580.143364,519.251601,3542.288001,8128948.221
7,50.334,20,20,31860831.283,1.355997,3444.412793,377.653562,3423.646780,8093207.617
8,59.598,20,20,31859626.817,1.357832,1960.886740,221.042957,1948.388261,8111814.389
9,68.808,20,20,31858895.531,1.356525,2079.678659,193.119326,2070.692698,8095019.642
10,78.007,20,20,31858419.156,1.357143,1286.829253,113.807062,1281.786831,8103875.474
11,87.244,20,20,31858092.553,1.356703,1326.448787,119.008518,1321.099299,8095010.214
12,94.916,11,20,31857857.437,1.356998,922.806348,77.026014,919.586075,8100742.725
13,102.066,8,20,31857682.586,1.356781,972.633516,83.185889,969.069690,8094851.645
14,108.886,6,20,31857548.067,1.356963,716.026065,56.946821,713.757932,8099228.335
15,118.123,20,20,31857440.967,1.356807,768.868445,62.986106,766.284174,8095118.207
16,125.772,11,20,31857356.467,1.356936,573.152140,41.623571,571.638744,8098110.871
17,132.789,7,20,31857288.477,1.356848,611.049131,46.298482,609.292615,8095175.274
18,139.266,4,20,31857232.629,1.356909,471.179826,34.124449,469.942497,8097398.612
19,145.746,4,20,31857186.397,1.356851,502.781911,34.533807,501.594524,8095197.238
20,152.213,4,20,31857147.602,1.356895,395.492299,26.594915,394.597098,8096891.475
21,158.676,4,20,31857114.842,1.356855,422.420483,28.411125,421.463963,8095192.525
22,165.149,4,20,31857086.878,1.356887,337.512589,22.289014,336.775812,8096553.880
23,174.395,20,20,31857062.640,1.356863,369.942565,25.668498,369.050985,8095189.233
24,181.382,7,20,31857041.814,1.356888,292.085815,20.058260,291.396276,8096293.968
25,187.856,4,20,31857023.762,1.356866,318.226726,20.967645,317.535206,8095189.401
26,194.310,4,20,31857007.980,1.356884,254.643248,15.482178,254.172158,8096094.937
27,200.775,4,20,31856994.144,1.356864,277.747327,16.696610,277.245020,8095167.653
28,207.240,4,20,31856981.926,1.356878,224.129168,13.590301,223.716757,8095915.020
29,213.718,4,20,31856971.112,1.356867,245.148427,14.188269,244.737501,8095190.211
30,222.951,20,20,31856961.431,1.356875,197.972284,12.557071,197.573645,8095809.773
31,230.807,12,20,31856952.798,1.356862,228.054998,13.114879,227.677583,8095154.791
32,237.796,7,20,31856945.079,1.356871,175.493082,10.805044,175.160135,8095701.555
33,244.279,4,20,31856938.156,1.356864,203.955350,11.458916,203.633195,8095164.575
34,250.573,3,20,31856931.915,1.356870,157.384484,9.578204,157.092755,8095621.067
35,256.900,3,20,31856926.281,1.356862,183.770001,9.721630,183.512679,8095147.719
