iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,0.597,4,2,1611964.408,1.400478,34820.189433,10456.451320,33213.072997,872476.292
2,1.226,5,4,1048567.860,1.005453,15980.892298,6273.754147,14697.922559,438688.436
3,1.793,4,4,905545.853,0.952771,12435.324782,4795.175986,11473.604041,392766.291
4,2.406,4,5,819549.627,0.935321,9097.985049,3894.395499,8222.348549,378747.684
5,2.976,4,4,766537.701,0.932228,8012.866082,3212.396001,7340.744839,376064.138
6,3.655,5,5,724846.948,0.925798,6743.175260,3148.116808,5963.201586,370700.491
7,4.313,4,6,694200.290,0.923270,5360.984094,2987.340279,4451.510812,368464.441
8,4.920,5,3,669504.914,0.923443,4400.012726,2178.397177,3822.917437,368702.257
9,5.616,5,5,649998.908,0.920702,4583.999274,2542.624688,3814.198348,365852.435
10,6.339,5,6,631964.322,0.918152,4355.645076,2619.270814,3480.095463,363165.898
11,6.931,5,3,617115.720,0.918387,3306.871911,1862.084642,2732.771966,363207.204
12,8.029,6,13,598190.605,0.906092,3687.288885,2668.892794,2544.230842,350509.074
13,8.865,8,5,578667.832,0.893261,3670.950408,2477.239214,2709.088920,336810.940
14,9.839,4,13,561705.822,0.880695,3080.846964,2178.611703,2178.363849,321169.433
15,11.759,15,19,530309.227,0.855845,2697.660527,1936.034924,1878.600834,277352.930
16,13.731,16,19,508138.516,0.847490,2490.458998,1936.019465,1566.593328,243733.935
17,14.518,8,4,500069.062,0.846371,2245.831237,1778.874181,1370.899192,239188.650
18,15.059,4,4,495582.212,0.846197,2079.647914,1599.225063,1329.441478,238614.471
19,17.105,16,20,484590.563,0.847074,2094.495235,1663.502581,1272.662349,221435.818
20,17.780,7,3,479958.287,0.846836,1946.476524,1451.793669,1296.559293,219693.090
21,18.324,3,5,477180.364,0.846469,1577.565159,1290.706809,907.076493,219273.856
22,18.951,6,3,474485.005,0.846861,1553.203495,1162.414973,1030.161408,218967.013
23,19.751,8,4,471897.431,0.846865,1631.797672,1352.826621,912.482206,217831.731
24,20.345,3,6,469852.374,0.846542,1395.949580,1179.590679,746.485807,217512.147
25,20.916,5,3,468087.888,0.846992,1192.152404,971.434052,691.045033,217558.988
26,21.716,8,4,466354.933,0.846918,1342.789094,1090.715910,783.212203,216832.986
27,23.041,4,20,463116.536,0.847234,1444.932277,1121.575315,910.987430,212550.321
28,24.631,18,8,459885.586,0.848241,1288.654416,1085.848448,693.947658,207448.682
29,25.140,4,3,458655.093,0.848393,1002.558253,859.239411,516.556566,207517.708
30,25.768,6,3,457595.075,0.848334,1046.469969,875.714412,572.908076,207448.520
31,26.387,5,4,456706.832,0.848326,995.194735,852.424727,513.599693,207337.495
32,27.053,5,5,455813.115,0.848243,979.365106,826.775700,524.974241,207152.121
33,27.578,5,2,455106.901,0.848717,764.422828,563.257186,516.801319,207435.549
34,29.908,20,20,453052.807,0.849751,989.523013,781.840040,606.532724,202587.199
35,31.148,14,6,451862.800,0.850061,851.394718,739.061599,422.683001,200956.706
36,31.657,4,3,451352.982,0.850288,668.887514,566.648406,355.415377,201116.482
37,32.471,5,8,450822.771,0.849915,771.307561,677.158708,369.285036,200954.996
38,32.984,4,3,450410.419,0.850094,591.994807,532.155459,259.361560,201054.795
39,33.657,6,4,450029.554,0.850058,637.861186,564.963870,296.112678,200997.206
40,34.989,4,20,449143.692,0.850466,749.035373,590.589760,460.714363,199600.929
41,36.734,20,9,448245.351,0.850783,624.311712,560.447065,275.071266,198066.717
42,37.305,5,3,447945.418,0.850874,540.376331,467.340470,271.292211,198094.369
43,37.938,6,3,447691.115,0.850899,529.040197,461.628100,258.424124,198074.222
44,38.561,5,4,447480.897,0.850916,494.311516,441.074209,223.153349,198032.105
45,39.278,5,6,447263.625,0.850898,490.418289,433.563704,229.199940,197943.479
46,39.868,6,2,447084.939,0.851090,404.534370,323.508802,242.878799,198050.339
47,42.167,20,20,446492.834,0.851585,508.274612,397.043236,317.332238,196441.976
48,44.172,15,20,445941.657,0.851540,481.848197,399.803052,268.952049,195556.048
49,45.685,16,9,445611.040,0.851756,411.181670,369.526845,180.333793,194998.895
50,46.312,6,3,445480.662,0.851811,351.061453,307.729383,168.957896,195037.410
51,48.616,20,20,445158.872,0.852203,373.443077,305.347308,214.994775,194314.820
52,50.022,14,9,444966.556,0.852156,333.856172,301.292390,143.815295,194034.571
53,50.600,5,3,444882.517,0.852220,290.642256,254.785993,139.846411,194067.171
