iter,time,#cg,#ls,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,1.114,2,1,2166439.874,2.192098,103818.643594,84845.283597,59829.663288,2143958.574
2,2.112,2,0,861661.333,1.380264,28911.418569,23657.988770,16618.354042,843336.755
3,3.681,4,0,484397.588,1.031921,11271.664475,9165.183710,6561.236743,465288.300
4,6.888,9,0,396132.749,0.931726,3203.727017,2397.711530,2124.816750,377359.272
5,13.260,20,0,362338.597,0.909454,2421.748467,1677.954232,1746.234587,342988.473
6,19.601,20,0,321301.246,0.961825,7635.846132,5572.442339,5220.539488,289591.368
7,25.740,20,0,243071.688,0.910847,2587.399776,1660.457146,1984.318439,213139.634
8,31.902,20,0,224902.323,0.930598,2075.597762,1347.788036,1578.471882,192865.879
9,38.069,20,0,212694.785,0.941657,1854.668434,1046.856178,1530.975879,179970.019
10,44.209,20,0,204155.215,0.946215,1601.075241,959.916795,1281.406132,171074.492
11,50.316,20,0,198570.503,0.954337,1242.484955,691.377060,1032.359736,165036.466
12,56.542,20,0,194510.726,0.958878,1086.889015,593.707727,910.405880,160723.986
13,62.800,20,0,191577.857,0.964919,975.780926,496.697797,839.904586,157462.255
14,68.887,20,0,189239.772,0.969908,1102.927244,530.348587,967.046473,154893.356
15,75.003,20,0,187408.539,0.974704,748.891544,370.707214,650.703239,152775.679
16,81.156,20,0,185896.058,0.979252,948.834879,471.123039,823.608347,151064.713
17,87.340,20,0,184658.182,0.983149,585.210415,304.939659,499.482767,149585.409
18,93.970,20,0,183623.025,0.986953,671.879572,287.932880,607.055859,148384.481
19,100.146,20,0,182749.753,0.990145,517.493306,246.786993,454.857672,147315.776
20,106.458,20,0,181995.188,0.993465,492.139717,232.782317,433.605689,146418.188
21,113.596,20,0,181341.151,0.996158,465.212042,206.177309,417.028969,145598.761
22,119.782,20,0,180760.190,0.999131,441.613487,200.047506,393.704796,144890.670
23,125.883,20,0,180244.846,1.001475,424.631476,179.965514,384.609288,144231.974
24,131.949,20,0,179780.423,1.004124,403.181029,176.647999,362.422993,143654.554
25,138.076,20,0,179362.090,1.006204,391.414931,160.828446,356.847109,143110.430
26,144.133,20,0,178980.825,1.008571,371.241000,158.827816,335.549706,142628.253
27,150.187,20,0,178633.385,1.010441,363.611729,146.082862,332.976406,142169.423
28,156.432,20,0,178313.806,1.012570,344.276677,144.656370,312.411532,141759.249
29,162.513,20,0,178019.854,1.014267,340.113540,134.143160,312.542529,141365.880
30,168.681,20,0,177747.420,1.016192,321.230893,132.897613,292.450870,141011.708
31,174.776,20,0,177494.898,1.017741,320.102994,124.261570,294.999981,140669.866
32,180.914,20,0,177259.384,1.019493,301.282493,123.103264,274.984958,140360.282
33,187.001,20,0,177039.663,1.020913,302.956079,116.010236,279.864272,140059.841
34,193.168,20,0,176833.655,1.022515,283.816380,114.937542,259.501636,139786.459
35,199.315,20,0,176640.390,1.023822,288.223407,109.030116,266.805484,139519.866
36,205.464,20,0,176458.370,1.025293,268.379062,108.057274,245.664296,139276.361
37,211.546,20,0,176286.782,1.026500,275.589117,103.022863,255.608394,139037.848
38,217.737,20,0,176124.550,1.027856,254.627917,102.161816,233.234515,138819.343
39,223.989,20,0,175970.963,1.028972,264.802713,97.775221,246.090396,138604.419
40,230.278,20,0,175825.254,1.030226,242.389059,96.998590,222.134485,138407.038
41,236.438,20,0,175686.788,1.031261,255.674059,93.138820,238.105826,138212.174
42,242.881,20,0,175555.033,1.032425,231.066511,92.498540,211.744545,138032.915
43,249.022,20,0,175429.400,1.033388,248.082563,89.001076,231.568061,137855.196
44,255.170,20,0,175309.531,1.034472,220.839308,88.489031,202.335590,137691.540
45,261.371,20,0,175194.875,1.035369,241.908206,85.280381,226.377642,137528.635
46,267.524,20,0,175085.216,1.036382,211.380437,84.924677,193.570371,137378.545
47,273.697,20,0,174980.022,1.037221,237.037657,81.911486,222.435068,137228.501
48,279.864,20,0,174879.197,1.038171,202.517006,81.763935,185.277621,137090.303
49,285.993,20,0,174782.208,1.038958,233.814097,78.852417,220.116624,136951.420
50,292.154,20,0,174689.075,1.039852,194.408895,78.892981,177.681502,136823.704
51,298.288,20,0,174599.240,1.040592,232.451131,76.026879,219.666661,136694.656
52,304.449,20,0,174512.866,1.041435,186.981099,76.222538,170.739731,136576.192
53,310.602,20,0,174429.456,1.042131,224.514502,73.595438,212.109578,136455.948
54,316.756,20,0,174349.128,1.042928,180.703766,73.518382,165.072404,136345.709
55,322.892,20,0,174271.301,1.043587,225.766863,71.176194,214.253648,136233.419
56,329.013,20,0,174196.275,1.044343,172.953975,71.223985,157.607809,136130.466
57,335.161,20,0,174123.417,1.044966,225.766780,68.891268,214.999144,136025.361
58,341.336,20,0,174053.146,1.045685,164.690024,69.185733,149.452797,135928.878
59,347.486,20,0,173984.788,1.046274,224.119002,66.826739,213.924085,135830.259
60,353.622,20,0,173918.836,1.046957,155.400552,67.361060,140.042205,135739.681
61,359.747,20,0,173854.516,1.047519,223.580342,65.007942,213.920866,135646.802
62,365.948,20,0,173792.380,1.048171,149.356384,65.768445,134.096387,135561.522
63,372.100,20,0,173731.697,1.048707,221.267666,63.432011,211.980565,135473.938
64,378.304,20,0,173673.134,1.049328,142.824526,63.950194,127.707548,135393.451
65,384.453,20,0,173615.765,1.049838,224.637120,61.984345,215.916134,135310.670
66,390.622,20,0,173560.273,1.050435,138.226945,62.951018,123.060382,135234.609
67,396.784,20,0,173505.784,1.050924,226.541162,60.771919,218.237650,135156.099
68,402.977,20,0,173453.071,1.051497,134.368194,62.190950,119.109602,135083.824
69,409.153,20,0,173401.190,1.051965,227.990374,59.855215,219.993099,135008.997
70,415.350,20,0,173351.007,1.052517,131.369850,61.295296,116.193477,134940.192
71,421.689,20,0,173301.446,1.052968,233.074508,58.860220,225.519845,134868.893
72,427.963,20,0,173253.453,1.053500,129.024663,60.938147,113.727331,134803.215
73,434.179,20,0,173205.790,1.053938,241.003950,57.960074,233.930618,134734.709
74,440.386,20,0,173159.647,1.054452,128.164654,60.563492,112.952387,134671.690
75,446.556,20,0,173113.735,1.054879,242.652134,59.821587,235.162573,134605.198
76,452.758,20,0,173069.318,1.055372,125.708315,61.298407,109.750106,134545.200
77,458.899,20,0,173027.288,1.055749,159.310270,61.952218,146.770858,134486.092
78,465.081,20,0,172986.691,1.056208,114.015446,60.917639,96.377192,134430.210
79,471.224,20,0,172947.423,1.056559,135.761633,58.100850,122.700906,134375.179
80,477.394,20,0,172909.297,1.056996,108.872329,58.609086,91.750526,134322.207
81,483.544,20,0,172871.995,1.057332,132.553406,56.304105,120.001055,134270.109
82,489.727,20,0,172835.578,1.057748,107.029772,57.102324,90.524564,134219.773
83,495.903,20,0,172799.933,1.058073,129.736511,54.970270,117.515241,134169.854
84,502.176,20,0,172765.057,1.058470,105.299837,55.939829,89.212058,134121.895
85,508.520,20,0,172730.905,1.058782,126.979000,53.881124,114.980394,134074.058
86,515.212,20,0,172697.442,1.059163,103.784753,54.914073,88.066564,134028.213
87,521.926,20,0,172664.657,1.059463,124.416033,52.867878,112.624761,133982.320
88,529.954,20,0,172632.504,1.059828,102.338935,53.939024,86.970336,133938.407
89,537.277,20,0,172600.985,1.060117,122.047437,51.906326,110.459541,133894.324
90,544.613,20,0,172570.051,1.060467,101.015559,52.992249,85.999795,133852.183
91,552.470,20,0,172539.710,1.060745,119.846795,51.009705,108.449362,133809.809
92,560.259,20,0,172509.916,1.061081,99.521242,52.099611,84.794506,133769.342
93,567.896,20,0,172480.677,1.061349,117.789312,50.193650,106.559465,133728.546
94,575.477,20,0,172451.949,1.061672,98.154846,51.242382,83.717335,133689.617
95,582.804,20,0,172423.740,1.061930,115.863624,49.476271,104.768688,133650.323
96,589.888,20,0,172396.012,1.062240,96.832692,50.435908,82.660688,133612.826
97,596.850,20,0,172368.772,1.062488,114.073964,48.872234,103.074604,133574.948
98,603.941,20,0,172341.983,1.062786,95.578232,49.686410,81.648387,133538.792
99,610.748,20,0,172315.655,1.063025,112.435187,48.389310,101.489634,133502.248
100,618.192,20,0,172289.751,1.063311,94.419031,48.992200,80.713801,133467.354
