iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,2.389,8,2,15884900.962,2.116033,326871.585125,35740.681755,324911.736984,8565386.456
2,6.049,11,5,10566604.787,1.242900,145473.330222,19802.887865,144119.170959,4152020.150
3,9.366,9,5,9087107.351,1.063800,122884.849111,16503.597648,121771.578809,3778621.901
4,12.879,7,7,8212321.968,1.002981,84969.500148,14858.264337,83660.312791,3631996.777
5,15.502,8,3,7676016.034,0.966372,61894.848463,9048.661694,61229.845564,3648220.815
6,20.341,10,10,7196852.973,0.933817,54266.224861,14265.732256,52357.540468,3484382.066
7,22.744,5,4,6926004.187,0.931640,34982.157712,8196.549957,34008.350842,3503010.409
8,26.589,12,5,6665681.965,0.920309,45144.111116,9229.890829,44190.495401,3475980.486
9,32.118,8,14,6368515.796,0.913085,34964.011068,12026.828831,32830.434939,3341555.968
10,35.531,11,4,6127749.656,0.905946,35418.302627,8790.825860,34310.021009,3280989.321
11,39.547,13,5,5950172.341,0.897153,31156.222615,9067.349637,29807.606046,3240539.119
12,45.902,5,19,5740297.548,0.885764,22707.273471,9927.249814,20422.291243,3066609.577
13,51.480,19,7,5518665.122,0.869713,24240.510885,8618.094962,22656.804876,2917438.727
14,54.111,8,3,5427389.482,0.868647,19484.714340,5561.837338,18674.047723,2920404.378
15,62.802,20,18,5269072.919,0.860137,21157.871478,9072.952543,19113.792341,2759711.997
16,66.032,10,4,5175580.497,0.856488,18814.279173,6450.786716,17673.835225,2728769.324
17,71.880,20,7,5086715.771,0.853407,15810.342739,6841.417921,14253.488638,2658613.126
18,74.509,8,3,5039055.668,0.851625,13646.223289,4457.438751,12897.699400,2662642.006
19,82.169,11,20,4957435.980,0.848359,15954.249254,7966.338022,13823.007191,2573167.431
20,85.914,13,4,4899389.651,0.847456,14098.620009,5525.606793,12970.688329,2548062.133
21,88.998,6,6,4866893.015,0.846828,10698.347678,5020.099172,9447.393680,2542332.682
22,93.684,20,3,4825680.527,0.847220,12061.701496,4191.989985,11309.812684,2523384.434
23,101.003,9,20,4776345.321,0.844169,13428.383378,6778.902130,11591.719720,2462832.736
24,103.899,8,4,4746156.012,0.843627,10051.829825,4389.473473,9042.776424,2457635.475
25,109.143,20,5,4712123.256,0.843714,9563.547549,4734.398268,8309.447320,2424536.536
26,112.559,8,6,4690612.800,0.842327,8509.748105,4355.480484,7310.649942,2420713.505
27,115.365,9,3,4676120.654,0.842492,7349.665746,2720.600826,6827.585058,2425246.950
28,124.569,20,20,4643161.913,0.842943,10404.924339,5608.586475,8763.915121,2373234.945
29,127.730,8,5,4623698.817,0.841519,7293.875163,3781.342063,6237.152162,2367886.379
30,132.963,20,5,4604967.248,0.841623,7127.265006,3759.202212,6055.270861,2345392.856
31,136.644,8,7,4592604.653,0.840878,6199.951371,3497.905869,5118.989308,2343075.966
32,139.436,9,3,4584210.060,0.840933,4683.451554,2264.404411,4099.657440,2346042.142
33,148.651,20,20,4563351.312,0.841686,8733.111060,4471.734252,7501.387976,2310119.116
34,151.794,8,5,4551600.735,0.840637,5910.977748,3077.806399,5046.460711,2305920.588
35,157.020,20,5,4539919.184,0.840915,5359.586119,3018.804135,4428.542081,2288056.209
36,160.719,8,7,4532661.153,0.840362,4602.276682,2729.889291,3705.219983,2286730.730
37,163.865,11,3,4527565.963,0.840485,3503.967903,1874.021206,2960.715384,2288859.135
38,173.095,20,20,4513799.705,0.841453,7403.448437,3515.507255,6515.539694,2259279.562
39,176.877,10,6,4505593.262,0.840543,4603.915149,2557.831464,3827.993325,2254650.315
40,182.402,20,6,4498154.144,0.840764,3840.124229,2430.457047,2973.118335,2240247.648
41,185.479,9,4,4494236.190,0.840431,3225.651879,1635.588297,2780.230381,2241447.981
42,190.443,20,4,4490242.320,0.841069,3521.518963,1820.508428,3014.439396,2240559.831
43,197.753,9,20,4481990.390,0.840611,6508.055498,2858.653349,5846.613327,2222729.861
44,203.512,20,7,4475298.416,0.840508,3272.716126,1942.891155,2633.599211,2209733.045
45,208.202,20,3,4471484.776,0.840718,2495.935991,1406.202178,2062.108607,2211202.920
46,217.413,20,20,4463985.286,0.840833,5284.907135,1763.299009,4982.069854,2187007.236
47,222.897,20,6,4458569.628,0.840833,2849.376313,1604.850056,2354.442964,2175857.539
48,227.607,20,3,4455810.196,0.840799,2196.216717,1062.821347,1921.920564,2177336.627
49,236.810,20,20,4451572.999,0.840760,3893.286521,1676.680362,3513.747700,2169457.344
50,243.121,20,9,4448497.217,0.840633,2126.326534,1430.308574,1573.366427,2164843.473
51,248.104,20,4,4446688.641,0.840759,1558.923518,1015.019833,1183.206353,2164039.985
52,253.069,20,4,4445364.065,0.840871,1815.907460,1008.491544,1510.120760,2162459.155
53,262.272,20,20,4442164.565,0.841247,3646.064371,1250.553431,3424.894380,2151349.010
54,268.585,20,9,4439950.322,0.841187,1743.638262,1131.743702,1326.435291,2146197.071
55,273.550,20,4,4438733.695,0.841163,1308.556371,822.021096,1018.136089,2147345.923
56,282.755,20,20,4436251.345,0.841210,3130.954169,975.177402,2975.214790,2142992.895
57,291.958,20,20,4433918.962,0.841278,1587.146450,797.037112,1372.503441,2136910.149
58,301.189,20,20,4432263.745,0.841258,2317.737504,1035.770910,2073.423680,2133596.664
59,310.419,20,20,4430632.282,0.841351,1811.516407,703.612207,1669.287739,2129708.327
60,319.648,20,20,4429285.662,0.841394,1967.391130,871.003461,1764.080733,2127012.283
61,328.900,20,20,4427973.561,0.841431,1747.964881,646.427352,1624.042150,2124015.816
62,338.135,20,20,4426827.252,0.841513,1829.707872,746.622869,1670.444609,2121418.851
63,347.352,20,20,4425741.565,0.841487,1608.846014,594.977443,1494.786720,2119224.463
64,356.565,20,20,4424769.709,0.841582,1626.043119,644.841537,1492.714177,2116594.528
65,365.850,20,20,4423875.429,0.841572,1464.798159,542.511312,1360.630413,2115044.696
66,375.070,20,20,4423063.434,0.841639,1435.480387,568.307211,1318.192268,2112569.670
67,384.294,20,20,4422324.439,0.841642,1409.815070,493.194974,1320.733603,2111392.079
68,393.515,20,20,4421644.616,0.841698,1294.207426,516.593194,1186.635721,2109168.108
69,402.741,20,20,4421017.408,0.841702,1473.968362,462.300940,1399.593002,2108128.585
70,411.962,20,20,4420435.255,0.841746,1209.771659,468.012438,1115.576902,2106182.572
71,421.192,20,20,4419902.476,0.841735,1237.282393,473.057872,1143.277730,2105168.629
72,430.402,20,20,4419401.424,0.841779,1102.190661,415.809575,1020.748084,2103525.797
73,439.676,20,20,4418937.396,0.841751,1082.017904,462.197463,978.333405,2102617.214
74,448.899,20,20,4418497.110,0.841799,1144.240391,359.367633,1086.342937,2101197.028
75,458.129,20,20,4418099.846,0.841785,999.870500,357.980327,933.590436,2100399.092
76,467.352,20,20,4417718.278,0.841814,1082.037483,388.004930,1010.077863,2099110.184
77,476.576,20,20,4417365.125,0.841816,919.259116,314.467073,863.798462,2098386.915
78,485.824,20,20,4417024.598,0.841832,935.407952,443.511918,823.580728,2097285.056
79,495.050,20,20,4416705.961,0.841824,914.614562,284.135861,869.359885,2096559.194
80,504.271,20,20,4416399.717,0.841842,875.020061,412.895663,771.477335,2095597.771
81,513.510,20,20,4416113.327,0.841829,832.318016,272.297223,786.516053,2094910.118
82,522.880,20,20,4415847.194,0.841849,801.220887,296.750954,744.240406,2094113.649
83,532.131,20,20,4415595.035,0.841846,832.648402,264.260584,789.600979,2093471.625
84,541.335,20,20,4415342.741,0.841851,806.929643,377.123228,713.381749,2092702.909
85,550.539,20,20,4415107.079,0.841845,751.924453,244.735595,710.981625,2092095.227
86,559.763,20,20,4414890.007,0.841857,728.496263,239.533710,687.990121,2091457.936
87,568.978,20,20,4414684.021,0.841852,699.588089,236.725899,658.319332,2090911.258
88,578.214,20,20,4414486.737,0.841853,718.519872,230.930957,680.398192,2090303.944
89,587.457,20,20,4414299.444,0.841850,689.024385,231.860676,648.841452,2089798.121
90,596.713,20,20,4414119.325,0.841846,667.736117,227.684793,627.719011,2089239.663
91,605.951,20,20,4413945.025,0.841846,704.042212,302.786682,635.606530,2088768.633
92,615.192,20,20,4413777.812,0.841846,611.857291,215.326769,572.716097,2088263.401
93,624.424,20,20,4413620.339,0.841848,627.534262,208.112044,592.020799,2087841.854
94,633.655,20,20,4413468.982,0.841843,587.210620,212.227697,547.517778,2087378.082
95,642.874,20,20,4413323.973,0.841844,586.565977,201.363572,550.919556,2086976.013
96,652.127,20,20,4413184.610,0.841837,566.674655,208.917955,526.757489,2086551.498
97,661.387,20,20,4413050.546,0.841839,567.983784,196.997000,532.726723,2086174.314
98,670.613,20,20,4412921.552,0.841830,544.188833,205.486974,503.901369,2085783.887
99,679.858,20,20,4412797.162,0.841831,565.193557,193.559731,531.016373,2085427.927
100,689.055,20,20,4412677.338,0.841823,519.493322,202.584587,478.364711,2085065.779
