iter,time,#cg,#ls,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,10.586,20,1,745560.689,0.990035,14269.172398,7897.888844,11884.133656,426200.150
2,45.973,73,0,689488.935,0.919590,671.652700,509.392421,437.763305,369089.535
3,142.145,200,0,688497.392,0.918297,614.427759,325.532738,521.104507,367293.043
4,227.720,200,0,686325.046,0.913272,1109.245675,757.617427,810.210961,361379.987
5,312.617,200,0,683240.121,0.903960,1843.130216,1009.282089,1542.231713,350796.166
6,392.476,200,1,674598.944,0.896612,1102.632265,716.623396,838.002876,342606.124
7,469.313,176,0,668824.170,0.882244,571.488967,301.814014,485.291603,326201.234
8,541.079,200,0,666469.087,0.875801,411.958650,267.930164,312.927079,317372.169
9,619.671,200,0,665058.091,0.871481,424.122214,201.339761,373.285351,310881.509
10,688.981,200,0,664078.835,0.868139,374.427663,240.521676,286.958879,305643.215
11,757.114,200,0,663412.172,0.865698,400.132940,198.546090,347.398647,301471.555
12,826.836,200,0,662974.919,0.863888,368.090908,228.270280,288.762179,298194.983
13,893.661,200,0,662684.356,0.862650,388.243832,202.290164,331.378881,295673.432
14,973.464,200,1,661996.253,0.861979,142.251161,82.481262,115.897517,294394.229
15,1041.127,200,0,661788.981,0.860775,92.331143,51.158164,76.862749,292067.200
16,1110.691,200,0,661646.133,0.860108,76.434139,43.010216,63.184641,290443.800
17,1178.254,200,0,661539.939,0.859637,65.908250,36.731098,54.724070,289178.808
18,1253.530,200,0,661457.602,0.859303,57.640674,32.543422,47.574920,288158.903
19,1320.867,200,0,661391.833,0.859043,51.735841,28.914775,42.901434,287315.515
20,1387.748,200,0,661338.091,0.858847,46.645630,26.367050,38.478481,286606.097
21,1453.303,200,0,661293.366,0.858684,42.877573,23.994819,35.534982,286000.653
22,1531.253,200,0,661255.561,0.858556,39.473936,22.338779,32.544901,285478.293
23,1597.617,200,0,661223.156,0.858443,36.916344,20.674354,30.584106,285023.071
24,1666.947,200,0,661195.036,0.858352,34.563323,19.590841,28.474940,284623.171
25,1732.813,200,0,661170.359,0.858269,32.765512,18.343265,27.149648,284269.308
26,1799.798,200,0,661148.490,0.858202,31.084522,17.652077,25.586162,283953.687
27,1870.669,200,0,661128.941,0.858137,29.779811,16.651157,24.689595,283670.656
28,1943.085,200,0,661111.335,0.858085,28.541266,16.231730,23.476260,283415.104
29,2009.478,200,0,661095.383,0.858033,27.543325,15.375377,22.852407,283183.563
30,2076.794,200,0,661080.855,0.857991,26.578510,15.136014,21.847615,282972.508
31,2143.181,200,0,661067.572,0.857950,25.773929,14.373901,21.393606,282779.551
32,2208.610,200,0,661055.389,0.857916,24.995123,14.248372,20.536311,282602.211
33,2270.695,200,0,661044.189,0.857881,24.319151,13.561258,20.186961,282439.023
34,2340.009,200,0,661033.874,0.857854,23.664434,13.498775,19.436783,282288.254
35,2403.891,200,0,661024.361,0.857825,23.077892,12.891036,19.141847,282148.961
36,2468.513,200,0,661015.579,0.857802,22.537713,12.851358,18.514618,282019.733
37,2537.894,200,0,661007.465,0.857779,22.005560,12.331656,18.225667,281900.025
38,2602.484,200,0,660999.962,0.857760,21.576231,12.289871,17.733945,281788.731
39,2664.643,200,0,660993.020,0.857741,21.092106,11.868353,17.436145,281685.369
40,2733.631,200,0,660986.590,0.857726,20.763407,11.805392,17.080744,281589.072
41,2796.140,200,0,660980.630,0.857710,20.315134,11.486370,16.756133,281499.579
42,2859.603,200,0,660975.100,0.857697,20.079874,11.395907,16.532836,281416.156
43,2922.408,200,0,660969.964,0.857684,19.671255,11.175109,16.188737,281338.410
44,2986.015,200,0,660965.189,0.857674,19.520946,11.055149,16.088847,281265.882
45,3047.728,200,0,660960.743,0.857663,19.139671,10.921554,15.717718,281198.287
46,3120.956,200,0,660956.598,0.857655,19.070372,10.778368,15.732319,281134.955
47,3183.798,200,0,660952.729,0.857646,18.716512,10.715371,15.345639,281075.937
48,3249.250,200,0,660949.113,0.857640,18.708854,10.558666,15.444603,281020.574
49,3311.302,200,0,660945.728,0.857632,18.385197,10.546600,15.059372,280968.787
50,3374.851,200,0,660942.556,0.857627,18.418618,10.388400,15.209426,280920.171
51,3441.430,200,0,660939.579,0.857621,18.127228,10.408270,14.841305,280874.598
52,3509.488,200,0,660936.781,0.857616,18.193418,10.260121,15.024326,280831.722
53,3572.094,200,0,660934.148,0.857611,17.930406,10.293441,14.681435,280791.406
54,3635.760,200,0,660931.668,0.857607,18.018395,10.166560,14.876277,280753.388
55,3698.824,200,0,660929.328,0.857603,17.787783,10.198819,14.573583,280717.687
56,3761.797,200,0,660927.118,0.857600,17.887212,10.102592,14.761097,280683.922
57,3823.158,200,0,660925.029,0.857597,17.684394,10.120942,14.501874,280652.028
58,3891.029,200,0,660923.051,0.857594,17.788587,10.062215,14.669208,280621.831
59,3953.910,200,0,660921.177,0.857592,17.616846,10.057411,14.463809,280593.315
60,4015.619,200,0,660919.400,0.857590,17.719041,10.039252,14.600611,280566.287
61,4080.901,200,0,660917.712,0.857587,17.578506,10.007765,14.451592,280540.622
62,4141.611,200,0,660916.109,0.857586,17.672579,10.031742,14.549371,280516.235
63,4200.732,200,0,660914.584,0.857584,17.559709,9.969593,14.455123,280493.106
64,4266.317,200,0,660913.132,0.857583,17.647059,10.035315,14.515893,280471.059
65,4326.514,200,0,660911.748,0.857581,17.560253,9.942328,14.474549,280450.107
66,4387.072,200,0,660910.429,0.857580,17.637496,10.047214,14.496026,280430.063
67,4446.899,200,0,660909.171,0.857579,17.575928,9.924836,14.505547,280411.089
68,4507.205,200,0,660907.969,0.857578,17.641258,10.065287,14.488063,280392.860
69,4567.989,200,0,660906.820,0.857577,17.601646,9.916077,14.542674,280375.497
70,4639.100,200,0,660905.722,0.857576,17.657927,10.087520,14.492907,280358.898
71,4699.393,200,0,660904.671,0.857576,17.637139,9.915825,14.585784,280343.059
72,4762.413,200,0,660903.665,0.857575,17.684586,10.112859,14.507745,280327.835
73,4821.868,200,0,660902.701,0.857574,17.679959,9.922554,14.632972,280313.273
74,4882.742,200,0,660901.777,0.857574,17.718655,10.139630,14.530610,280299.228
75,4946.880,200,0,660900.890,0.857573,17.725741,9.935420,14.679555,280285.923
76,5012.246,200,0,660900.040,0.857573,17.759451,10.168061,14.560516,280273.102
77,5072.173,200,0,660899.223,0.857573,17.777753,9.953265,14.730276,280260.788
78,5132.935,200,1,660897.032,0.857572,5.453074,3.096381,4.488702,280254.062
79,5200.858,200,0,660896.246,0.857572,5.355832,3.036779,4.411680,280241.453
80,5261.735,200,0,660895.491,0.857571,5.249430,2.975796,4.324482,280229.881
81,5321.275,200,0,660894.764,0.857571,5.152683,2.916754,4.247668,280218.782
82,5381.966,200,0,660894.065,0.857571,5.055191,2.863407,4.166037,280208.280
83,5448.440,200,0,660893.391,0.857570,4.963427,2.806237,4.093976,280198.142
84,5509.076,200,0,660892.742,0.857570,4.870323,2.757180,4.014724,280188.514
85,5569.377,200,0,660892.117,0.857570,4.785588,2.702884,3.949212,280179.151
86,5629.984,200,0,660891.514,0.857570,4.696320,2.657305,3.872228,280170.238
87,5690.273,200,0,660890.932,0.857570,4.617047,2.606405,3.811007,280161.604
88,5750.689,200,0,660890.371,0.857570,4.532773,2.562782,3.738741,280153.313
89,5810.977,200,0,660889.829,0.857569,4.455207,2.514618,3.677711,280145.281
90,5871.139,200,0,660889.306,0.857569,4.378310,2.474474,3.612005,280137.578
91,5940.790,200,0,660888.801,0.857569,4.302868,2.427683,3.552609,280130.087
92,6001.069,200,0,660888.313,0.857569,4.229348,2.390047,3.489278,280122.932
93,6061.085,200,0,660887.841,0.857569,4.160413,2.345939,3.435929,280115.947
94,6121.337,200,0,660887.385,0.857569,4.088754,2.310063,3.373651,280109.238
95,6185.122,200,0,660886.944,0.857569,4.022969,2.268266,3.322536,280102.729
96,6245.912,200,0,660886.518,0.857569,3.954936,2.234362,3.263303,280096.485
97,6316.278,200,0,660886.105,0.857569,3.891861,2.194566,3.214103,280090.388
98,6376.774,200,0,660885.706,0.857568,3.827778,2.162105,3.158668,280084.532
99,6436.812,200,0,660885.319,0.857568,3.766093,2.124008,3.109992,280078.836
100,6497.256,200,0,660884.945,0.857568,3.706824,2.093858,3.058808,280073.345
