iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,1.966,4,2,1074201.700,1.405672,33428.926056,8346.259107,32370.249554,878348.240
2,6.092,6,5,598920.344,0.971233,10446.206130,2403.439958,10165.957844,405465.796
3,9.364,8,4,543593.311,0.922101,7673.905951,1378.735803,7549.034384,360911.142
4,15.497,4,20,515632.549,0.919341,9131.788284,1406.915741,9022.757082,340857.824
5,23.988,16,20,428998.581,0.902221,8067.446032,1282.107438,7964.915944,245011.795
6,32.010,13,20,386363.699,0.902553,5778.629760,1238.161720,5644.423572,210495.623
7,39.045,10,20,362263.530,0.902542,5157.312918,1092.839916,5040.196172,194879.711
8,44.272,11,9,348928.963,0.903753,3348.155641,1105.988721,3160.211251,188800.356
9,46.431,4,3,342795.272,0.902811,3192.751246,846.271512,3078.552427,188088.870
10,49.015,5,4,337753.940,0.902972,2697.846703,859.017400,2557.433468,187572.841
11,51.894,5,6,332563.302,0.903326,2906.458898,892.511872,2766.030709,186803.247
12,54.237,5,3,328202.541,0.903776,2722.741932,708.686717,2628.894590,186767.785
13,60.698,7,20,318195.521,0.915994,3933.154817,998.408393,3804.324840,178677.178
14,64.411,8,7,311043.795,0.912681,2501.234892,946.590194,2315.198261,176510.876
15,66.520,4,3,307396.814,0.912408,1883.870957,709.343815,1745.222373,176103.400
16,74.764,15,20,298087.989,0.925622,2984.059149,863.331247,2856.443271,168814.880
17,77.786,7,5,293206.073,0.923292,2167.857494,841.047063,1998.060547,167516.801
18,79.906,3,5,290481.150,0.922997,1826.941263,757.336573,1662.575018,167127.443
19,82.624,6,4,287604.252,0.923205,1770.696642,717.947556,1618.616046,166838.210
20,88.261,4,20,283553.438,0.929197,2102.507913,797.656151,1945.323672,164138.878
21,91.079,6,4,280588.038,0.927987,1749.238210,758.570416,1576.199619,163845.098
22,93.570,4,5,278408.736,0.927663,1564.880669,736.621655,1380.666522,163555.978
23,96.521,6,4,276101.697,0.927588,1615.141015,702.019689,1454.595771,163363.189
24,98.978,4,5,274298.749,0.927551,1471.087385,699.273353,1294.262288,163180.878
25,101.404,5,4,272415.462,0.927672,1504.190951,642.684775,1359.980403,163099.556
26,104.222,6,4,270602.575,0.927691,1532.417892,697.258700,1364.600638,162933.193
27,109.966,3,20,267260.451,0.936041,2126.114250,707.274559,2005.024813,159961.807
28,115.077,14,6,263735.175,0.934029,1423.540523,725.919406,1224.544256,158936.084
29,117.108,4,3,262173.107,0.933998,1294.566716,570.809731,1161.929100,158807.543
30,119.522,5,4,260778.178,0.934015,1295.491360,623.238709,1135.725044,158593.715
31,122.188,5,5,259325.601,0.934084,1288.606136,647.886909,1113.888830,158382.885
32,124.809,4,6,258032.895,0.934311,1174.507918,648.779554,979.057679,158214.750
33,127.158,6,2,256767.304,0.934459,1178.010415,494.559343,1069.167711,158211.646
34,129.781,6,4,255701.744,0.934603,1154.773116,576.210590,1000.740879,158069.525
35,135.536,4,20,253261.993,0.942603,1662.605630,663.524582,1524.464696,155652.826
36,140.222,13,6,250980.927,0.940441,1161.095901,662.355627,953.639719,155083.751
37,142.196,4,3,249888.941,0.940485,1028.673287,518.816728,888.255557,154983.235
38,144.716,5,4,248915.776,0.940552,1040.377011,563.663920,874.452577,154825.848
39,147.621,5,5,247894.040,0.940621,1027.788546,581.832340,847.242836,154671.109
40,150.130,5,4,246945.211,0.940773,981.407931,529.338132,826.415555,154612.664
41,152.737,5,4,246064.992,0.940892,972.763059,539.404782,809.512477,154538.722
42,155.417,5,6,245141.327,0.941046,935.498412,550.918163,756.073050,154387.482
43,157.501,5,3,244351.370,0.941164,874.707084,439.168730,756.467653,154398.523
44,163.899,9,20,242416.411,0.948280,1389.978562,613.341119,1247.338396,152376.741
45,168.543,13,7,240782.686,0.946331,928.747473,586.387001,720.223683,151889.959
46,170.612,5,3,239965.501,0.946460,760.909165,482.087195,588.705948,151776.940
47,172.929,5,4,239292.338,0.946555,784.695943,495.751955,608.257941,151688.175
48,175.256,5,4,238641.588,0.946681,850.240778,489.094692,695.482396,151631.877
49,177.557,5,4,238000.949,0.946758,817.854916,488.766711,655.739099,151574.987
50,180.299,6,5,237324.669,0.946818,827.164915,523.874742,640.122684,151466.279
51,182.988,4,7,236718.799,0.947081,777.279792,513.776380,583.264697,151330.387
52,185.413,6,3,236111.651,0.947110,652.329980,433.342645,487.594663,151300.893
53,187.929,6,4,235578.811,0.947212,715.061910,464.485916,543.660159,151250.451
54,193.248,4,20,234303.617,0.953500,1131.255992,536.014073,996.207324,149733.490
55,199.416,18,9,232858.316,0.952322,716.462552,525.817761,486.656214,149122.834
56,201.521,5,3,232283.663,0.952284,716.783870,448.096065,559.454228,149050.223
57,203.816,5,4,231788.789,0.952337,631.055469,443.634360,448.797905,148990.570
58,206.127,5,4,231326.432,0.952432,669.756066,442.579792,502.689085,148945.577
59,208.630,5,5,230858.323,0.952507,670.569334,451.098346,496.158759,148881.401
60,211.282,6,4,230400.583,0.952611,683.570556,433.152105,528.817510,148839.663
