iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,274.866,66,43,238667293.134,1.066373,232253.449736,188611.578085,135526.150711,47022478.111
2,670.390,85,67,217424025.124,1.057129,110048.050413,108130.648142,20453.271917,48965022.452
3,1026.354,61,68,212177347.402,1.076082,60631.256703,59842.688060,9746.895668,51046963.707
4,1450.304,83,76,210740107.799,1.089051,32679.580819,32312.201683,4886.371344,52422708.827
5,1775.842,101,39,210343366.362,1.096659,17306.850366,17145.600943,2356.997645,53238497.094
6,2271.072,52,113,210232611.884,1.100371,9278.924998,9188.047221,1295.468013,53682775.924
7,2705.289,137,51,210201920.998,1.102732,4893.435765,4849.280745,655.888593,53926569.112
8,3352.791,127,118,210193335.616,1.103964,2584.782504,2561.164918,348.618493,54057536.171
9,3923.763,197,59,210190959.242,1.104614,1366.541605,1354.344457,182.173131,54126708.632
10,4680.592,79,175,210190290.401,1.104961,718.870657,711.939183,99.587251,54163727.931
11,5293.723,200,70,210190106.381,1.105132,381.032500,377.466023,52.011227,54183003.294
12,6205.735,116,200,210190054.357,1.105230,200.149237,198.111093,28.490559,54193312.419
13,6914.642,200,97,210190039.986,1.105279,105.978282,105.066924,13.868591,54198691.741
14,7859.477,134,200,210190035.880,1.105306,56.932294,55.324650,13.433882,54201540.411
