iter,time,#cg,#ls,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,1.781,3,0,40229335.457,1.789880,1024618.599030,848290.999547,574670.038862,30368395.636
2,2.701,1,0,19466096.155,1.687626,211528.557218,156602.700246,142196.781941,12308626.909
3,7.413,11,1,11507532.163,1.629806,195815.380646,104400.014235,165663.213555,8183840.865
4,10.886,8,0,8292130.283,1.237733,81147.841387,40430.618638,70358.633005,4497065.681
5,18.906,20,1,7171191.133,1.108539,74856.736079,25061.689603,70536.817696,3953331.652
6,20.930,4,0,7034063.617,1.053690,18450.363758,8462.366465,16395.251648,3679591.686
7,28.818,20,0,6773548.012,0.951835,42900.360737,8271.103641,42095.484270,3590265.306
8,30.473,3,0,6745043.864,0.938087,12412.490435,4796.976299,11448.097536,3513768.760
9,38.367,20,0,6706154.592,0.933156,6583.290266,2136.366319,6227.009690,3476268.885
10,46.266,20,0,6695570.386,0.926996,4347.585844,1759.058505,3975.828951,3467083.662
11,54.163,20,0,6686945.943,0.924715,4772.702148,1650.601768,4478.191555,3454548.079
12,62.092,20,0,6672481.737,0.921533,5111.344177,1897.775423,4745.975952,3429157.607
13,70.022,20,0,6650519.238,0.919033,7161.597937,2149.496811,6831.408967,3385780.658
14,77.902,20,0,6626632.879,0.914807,7117.576603,2310.306249,6732.189966,3336829.682
15,85.778,20,0,6609470.048,0.911891,7759.757584,2099.795323,7470.254170,3304340.269
16,93.683,20,0,6596469.350,0.908679,6066.370872,1998.903879,5727.585778,3281003.811
17,101.585,20,0,6585946.860,0.906337,6377.950454,1731.416215,6138.440346,3261044.689
18,109.485,20,0,6577184.726,0.903920,5075.967114,1697.898389,4783.574313,3244396.024
19,117.389,20,0,6569471.345,0.902010,5622.694767,1506.307338,5417.170354,3229222.439
20,125.268,20,0,6562569.096,0.900019,4530.688052,1510.010062,4271.651184,3214391.611
21,133.193,20,0,6556190.141,0.898346,5443.658886,1411.785334,5257.402804,3201115.343
22,141.069,20,0,6550337.103,0.896577,4223.535950,1392.741391,3987.295743,3187132.711
23,148.952,20,0,6544957.546,0.895071,5315.826759,1360.221253,5138.853206,3175563.601
24,156.872,20,0,6539963.931,0.893440,3967.143520,1296.753796,3749.220892,3162757.322
25,164.801,20,0,6535477.018,0.892114,5047.436385,1312.929841,4873.687443,3153145.825
26,172.734,20,0,6531198.824,0.890592,3731.733585,1216.303776,3527.951342,3141460.592
27,180.660,20,0,6527420.526,0.889431,4740.980006,1263.176862,4569.603444,3133373.269
28,188.581,20,0,6523689.759,0.888018,3532.769850,1152.337679,3339.547977,3122575.270
29,196.492,20,0,6520427.509,0.886996,4460.748358,1214.190510,4292.320739,3115498.307
30,204.415,20,0,6517100.507,0.885678,3375.670862,1101.323317,3190.962350,3105273.480
31,212.340,20,0,6514214.752,0.884770,4218.587905,1167.308476,4053.871585,3098840.096
32,220.248,20,0,6511199.981,0.883529,3246.699538,1056.585170,3069.965092,3089017.740
33,228.178,20,0,6508614.408,0.882715,4000.200879,1120.156058,3840.163731,3083080.204
34,236.089,20,0,6505872.147,0.881542,3126.869428,1011.908565,2958.606678,3073643.278
35,244.053,20,0,6503555.686,0.880812,3787.290849,1069.609520,3633.112639,3068214.296
36,251.965,20,0,6501077.390,0.879701,3002.830963,963.969937,2843.897985,3059243.475
37,259.905,20,0,6499016.354,0.879052,3570.540369,1014.611460,3423.349546,3054387.796
38,267.833,20,0,6496799.421,0.878004,2870.225673,912.852532,2721.193794,3045977.374
39,275.745,20,0,6494977.039,0.877431,3350.962407,956.710585,3211.487803,3041721.703
40,283.698,20,0,6493009.702,0.876448,2732.149858,860.789149,2593.006920,3033922.387
41,291.608,20,0,6491400.422,0.875944,3135.731967,898.797560,3004.160101,3030225.808
42,299.537,20,0,6489659.566,0.875029,2594.908090,810.384296,2465.121759,3023033.732
43,307.475,20,0,6488232.745,0.874584,2935.643865,843.701386,2811.791756,3019808.766
44,315.396,20,0,6486688.509,0.873737,2464.447043,763.579051,2343.170131,3013177.414
45,323.318,20,0,6485413.815,0.873337,2753.830085,793.199901,2637.122305,3010286.978
46,331.245,20,0,6484035.351,0.872561,2345.615875,721.401688,2231.925948,3004184.125
47,339.167,20,0,6482886.345,0.872199,2586.128311,748.858645,2475.332376,3001562.340
48,347.102,20,0,6481645.910,0.871485,2241.683458,684.160161,2134.729397,2995893.837
49,355.022,20,0,6480600.757,0.871152,2448.798742,710.375568,2343.497777,2993452.816
50,362.967,20,0,6479475.035,0.870499,2152.426006,651.592632,2051.429929,2988170.485
51,370.888,20,0,6478517.127,0.870187,2332.304154,677.044506,2231.872175,2985856.210
52,378.813,20,0,6477488.339,0.869588,2076.086210,622.998441,1980.405740,2980915.450
53,386.740,20,0,6476605.385,0.869294,2231.592984,647.718554,2135.525210,2978696.019
54,394.667,20,0,6475660.443,0.868745,2010.096567,597.559925,1919.221286,2974062.488
55,402.579,20,0,6474843.360,0.868464,2141.877434,621.278279,2049.793219,2971921.211
56,410.514,20,0,6473972.401,0.867957,1968.550394,574.375208,1882.892396,2967554.655
57,418.452,20,0,6473213.935,0.867690,2059.074801,596.929595,1970.650678,2965495.767
58,426.390,20,0,6472410.064,0.867226,1898.019836,553.394164,1815.553414,2961414.918
59,434.272,20,0,6471705.230,0.866967,1981.740022,573.994808,1896.792944,2959403.201
60,442.174,20,0,6470962.124,0.866538,1849.551156,533.711436,1770.873113,2955570.358
61,450.085,20,0,6470305.870,0.866289,1907.915694,552.190297,1826.260708,2953621.618
62,458.011,20,0,6469618.253,0.865893,1804.115689,515.130011,1729.009686,2950024.239
63,465.932,20,0,6469006.502,0.865652,1836.841997,531.332346,1758.315802,2948135.498
64,473.839,20,0,6468369.733,0.865285,1760.773892,497.407613,1689.056058,2944761.029
65,481.781,20,0,6467798.971,0.865053,1768.225631,511.304176,1692.687190,2942930.495
66,489.697,20,0,6467208.927,0.864713,1718.882840,480.357711,1650.398342,2939766.548
67,497.622,20,0,6466676.098,0.864489,1703.485277,492.033573,1630.878614,2937995.507
68,505.541,20,0,6466129.078,0.864174,1677.956303,463.853356,1612.568578,2935027.555
69,513.465,20,0,6465631.554,0.863956,1638.319376,473.358894,1568.445644,2933301.348
70,521.388,20,0,6465124.296,0.863666,1637.757581,447.795877,1575.350356,2930531.974
71,529.299,20,0,6464659.733,0.863455,1574.098128,455.460482,1506.764967,2928864.151
72,537.197,20,0,6464189.238,0.863186,1597.889555,432.161059,1538.339315,2926268.334
73,545.139,20,0,6463755.454,0.862983,1512.612987,438.204586,1447.748179,2924655.801
74,553.059,20,0,6463318.908,0.862733,1555.975063,416.968063,1499.065052,2922223.366
75,560.969,20,0,6462913.907,0.862538,1448.271534,421.674110,1385.525669,2920666.388
76,568.872,20,0,6462508.773,0.862303,1501.328804,402.364566,1446.406213,2918383.174
