iter,time,#cg,#ls,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,98.323,3,0,230709054.699,2.023389,1606084.337046,787518.275917,1399757.787191,157609347.107
2,327.862,8,1,126011147.885,1.711152,924649.697211,539696.742865,750802.562791,89947204.533
3,835.840,20,1,96552286.700,1.564423,1825204.969041,411651.875536,1778177.694264,77004049.603
4,922.141,3,0,78829932.971,1.327646,474683.607300,161533.057429,446353.669636,53054299.608
5,1388.293,20,0,68503507.093,1.215400,736074.838346,100530.412285,729177.484465,48136334.154
6,1517.279,5,0,66200403.424,1.163090,209697.418650,51531.422793,203267.114540,44734533.833
7,2069.033,20,0,64029373.109,1.129177,161073.774846,40188.736035,155979.570583,43739234.991
8,2616.171,20,0,63007124.350,1.096588,126002.115206,29973.303141,122385.187565,43071767.152
9,3188.332,20,0,62359757.188,1.088609,83403.846578,25930.488233,79270.495166,42947539.215
10,3734.064,20,0,61895944.620,1.071119,95472.540542,22716.064574,92730.719871,42606353.229
11,4282.701,20,0,61499344.504,1.066650,70272.900963,21593.630028,66872.982228,42488977.536
12,4886.750,20,0,61091406.827,1.054607,95264.521316,20348.346578,93065.964848,42076422.710
13,5475.591,20,0,60648016.998,1.050837,75022.152375,21369.868890,71914.199228,41692132.766
14,6022.665,20,0,60177386.786,1.040669,110058.894387,18490.041826,108494.601649,41140822.732
15,6650.426,20,0,59767879.952,1.037434,70515.167441,18317.592533,68094.453834,40720296.078
16,7229.634,20,0,59408614.712,1.029114,113257.765654,16326.367612,112074.846427,40371410.006
17,7739.780,20,0,59089111.821,1.026252,56301.656884,15237.614079,54200.476798,40019389.722
