iter,time,#cg,#ls,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,447.610,97,1,88443717.515,1.407515,3215557.505397,320079.970236,3199587.298882,67868530.832
2,1191.380,163,0,59939765.643,1.017900,103250.099765,16963.018795,101847.135918,41887326.563
3,2103.738,200,0,59307470.421,0.986829,190203.615853,5250.617104,190131.129760,40961051.058
4,3018.189,200,0,58520259.743,0.968662,125373.598315,43517.579593,117578.737112,39458053.984
5,3935.151,200,1,56912382.619,0.961299,178768.083015,26290.055921,176824.377461,38043030.337
6,4846.932,200,0,55262854.509,0.940466,56938.928085,10758.043148,55913.379786,34966396.358
7,5761.116,200,0,54686343.354,0.931706,56556.273854,4070.031341,56409.635321,33689759.338
8,6673.993,200,0,54429611.047,0.926612,30511.330583,10171.412952,28766.015582,33010049.027
9,7585.052,200,0,54253886.328,0.925128,62049.616549,7348.015038,61612.998538,32539166.259
10,8497.446,200,0,54102993.522,0.923194,34681.539228,9823.337639,33261.256754,32100359.613
