iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,46.467,29,200,517446.199,0.987958,2678.062338,2232.497893,1479.179179,278571.142
2,105.088,86,200,403069.998,0.984890,1357.722738,1211.497717,612.930921,191168.478
3,161.600,77,200,369538.045,0.986745,1175.570393,1110.665082,385.212701,172129.422
4,217.996,72,200,350120.579,0.988148,1091.185106,1058.381673,265.543162,163164.574
5,272.547,66,200,336348.586,0.989341,1034.785982,1014.713062,202.828576,157848.583
6,326.512,65,200,325588.183,0.990230,990.241752,976.630049,163.622963,154295.282
7,380.159,63,200,316709.901,0.990844,953.918015,942.806690,145.172738,151734.497
8,433.594,62,200,309128.355,0.991291,922.144877,913.560925,125.529321,149789.887
9,487.419,61,200,302504.465,0.991692,893.736119,887.255099,107.436681,148251.100
10,537.115,61,183,296637.817,0.992057,867.949861,862.943464,93.088875,147006.281
11,587.304,60,184,291385.646,0.992424,846.288756,841.714899,87.867439,145968.478
12,636.575,60,181,286633.228,0.992730,825.885898,821.642678,83.611161,145082.666
13,684.795,60,175,282309.896,0.992989,806.910359,803.085488,78.473092,144317.707
14,732.636,59,175,278355.719,0.993222,789.681887,786.185174,74.231769,143647.252
15,780.777,62,172,274720.899,0.993428,772.908942,769.913355,67.982787,143052.633
16,821.584,58,141,271378.118,0.993559,757.082331,754.166066,66.386753,142532.345
17,868.527,60,169,268285.940,0.993764,742.765281,740.189782,61.800875,142065.260
18,916.891,61,175,265407.200,0.993866,729.087146,726.807571,57.609207,141632.970
19,947.456,58,90,262743.937,0.993854,715.011729,712.744941,56.889552,141260.508
20,995.553,59,176,260263.364,0.993968,703.808219,701.735661,53.972882,140921.012
21,1028.788,58,103,257940.019,0.993928,690.836265,688.901584,51.665789,140607.306
22,1077.856,59,182,255762.025,0.993975,680.825502,679.043156,49.231661,140315.182
23,1109.019,61,90,253719.067,0.993916,668.371773,666.765588,46.308503,140049.210
24,1158.056,58,182,251799.212,0.993944,659.010459,657.471980,45.004225,139802.372
25,1188.635,61,87,249990.660,0.993883,647.745541,646.285437,43.467455,139574.099
26,1236.147,58,175,248286.379,0.993905,639.070021,637.697409,41.862945,139362.600
27,1266.472,59,87,246675.814,0.993860,628.557064,627.344337,39.026471,139166.388
28,1315.017,59,178,245152.119,0.993877,620.388884,619.233331,37.847716,138982.123
29,1345.019,59,86,243709.016,0.993851,610.519299,609.434802,36.373579,138810.298
30,1390.294,59,162,242342.172,0.993874,602.773403,601.711462,35.764395,138650.684
31,1419.482,59,82,241044.910,0.993855,593.554630,592.550012,34.519299,138502.110
32,1465.842,59,168,239810.989,0.993884,586.312254,585.376086,33.119438,138360.463
33,1495.183,60,82,238636.681,0.993886,577.625795,576.754077,31.722134,138227.515
34,1540.540,58,165,237518.601,0.993930,570.772458,569.924358,31.103441,138101.696
