iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,15.628,19,27,1591995.467,0.937314,8281.589144,8089.786524,1772.025038,381352.708
2,35.227,25,52,1230883.329,0.913568,6950.867826,6916.643184,688.919885,361246.836
3,69.680,32,84,1036033.065,0.885086,5855.144774,5841.291876,402.528925,331432.693
4,102.240,34,74,920908.784,0.870262,5148.020615,5138.636301,310.697965,312198.513
5,130.169,34,74,849048.342,0.862962,4593.974955,4588.191723,230.440015,300715.129
6,163.330,35,74,800445.039,0.859009,4123.518861,4119.962446,171.222794,293433.710
7,186.937,35,37,766387.217,0.857205,3718.157252,3715.432643,142.315233,289593.163
8,225.065,33,74,741645.411,0.856432,3362.079568,3360.252211,110.833680,287141.015
9,245.236,36,35,723251.887,0.855906,3040.223501,3038.690470,96.535830,285371.527
10,277.446,34,70,709374.243,0.855702,2750.044111,2748.878140,80.072361,284129.466
11,297.777,37,35,698774.477,0.855557,2487.075658,2486.228633,64.903901,283190.602
12,329.099,36,70,690605.542,0.855542,2248.787257,2248.072875,56.678726,282504.259
13,359.271,38,35,684268.104,0.855554,2031.480925,2030.930386,47.291829,281972.124
14,400.943,37,70,679325.568,0.855617,1834.062512,1833.564765,42.726446,281574.339
15,425.101,39,35,675455.484,0.855693,1654.467580,1654.079124,35.850036,281257.988
16,465.057,38,75,672413.831,0.855791,1491.130884,1490.798513,31.481861,281013.228
17,492.575,40,35,670018.493,0.855896,1343.026673,1342.722679,28.573616,280815.709
18,526.773,40,74,668128.394,0.856011,1208.256756,1207.993031,25.243357,280666.229
19,557.392,41,36,666634.909,0.856122,1086.444975,1086.218393,22.187486,280545.584
20,597.926,41,76,665452.535,0.856233,975.963130,975.766295,19.600195,280452.725
21,626.084,42,37,664516.122,0.856340,876.290888,876.124741,17.063354,280376.836
22,677.399,42,84,663773.012,0.856441,786.104003,785.957992,15.150560,280318.574
23,711.776,44,39,663183.537,0.856543,704.814387,704.691486,13.161647,280269.755
24,758.868,44,86,662715.356,0.856634,631.586044,631.475726,11.804149,280232.689
25,783.255,46,42,662343.400,0.856724,565.398646,565.312183,9.887617,280200.879
26,824.933,46,94,662047.524,0.856803,506.133534,506.048851,9.258205,280176.746
27,853.359,49,45,661812.265,0.856876,452.948275,452.882152,7.739275,280154.398
28,898.074,49,95,661625.029,0.856944,405.279689,405.215443,7.216036,280137.592
29,929.282,50,45,661475.972,0.857005,362.180178,362.121172,6.537475,280122.216
30,986.687,50,124,661356.940,0.857063,323.701823,323.654329,5.544833,280110.332
31,1020.387,52,50,661262.120,0.857113,289.223951,289.179767,5.055307,280097.746
32,1050.647,52,61,661186.751,0.857159,258.413429,258.374114,4.507533,280087.347
33,1084.891,53,95,661126.364,0.857202,230.778116,230.744011,3.967398,280078.222
34,1127.899,58,133,661077.845,0.857243,206.206498,206.175786,3.558787,280069.053
35,1154.634,59,55,661039.155,0.857277,183.989747,183.962631,3.158726,280059.777
36,1185.711,59,70,661008.305,0.857307,164.247360,164.224409,2.745703,280051.662
37,1221.895,60,94,660983.487,0.857335,146.562194,146.540540,2.519335,280044.015
38,1273.295,61,159,660963.398,0.857362,130.868665,130.849171,2.258734,280036.335
39,1303.682,62,67,660947.298,0.857383,116.760344,116.743881,1.960616,280028.492
40,1338.249,63,82,660934.363,0.857402,104.161706,104.147055,1.746985,280021.189
41,1375.603,64,94,660923.888,0.857420,92.914728,92.901194,1.585855,280014.131
42,1418.785,66,125,660915.360,0.857436,82.919920,82.907602,1.429243,280007.151
43,1456.432,69,95,660908.431,0.857450,73.945319,73.935008,1.234835,280000.247
44,1510.674,70,170,660902.756,0.857464,65.946759,65.937193,1.123233,279993.637
45,1545.018,71,81,660898.123,0.857474,58.878631,58.870225,0.994847,279986.795
46,1583.644,72,100,660894.328,0.857484,52.513913,52.506281,0.895272,279980.557
47,1630.336,76,133,660891.181,0.857494,46.844870,46.838001,0.802186,279974.482
48,1685.825,77,171,660888.557,0.857502,41.781850,41.776010,0.698524,279968.555
49,1722.891,77,88,660886.375,0.857509,37.282758,37.277291,0.638415,279962.646
50,1770.208,81,132,660884.550,0.857515,33.274194,33.269460,0.561293,279957.090
51,1826.434,82,170,660883.001,0.857521,29.690431,29.686415,0.488307,279951.749
52,1870.731,83,112,660881.686,0.857526,26.511349,26.507625,0.444345,279946.542
53,1928.408,84,173,660880.562,0.857531,23.675908,23.672509,0.401168,279941.585
54,1978.247,88,130,660879.593,0.857535,21.139256,21.136273,0.355109,279936.795
