iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,282.263,57,50,131618464.063,1.026018,137329.383890,69506.845872,118440.525397,41727310.981
2,881.723,109,114,108577087.454,0.964522,80588.704844,61507.480583,52070.809297,37045958.321
3,1625.058,117,151,93247392.465,0.949279,66360.086226,54859.055516,37338.252126,33570543.354
4,2371.761,121,149,84291786.048,0.942490,57619.805000,50224.513757,28240.753285,32087627.410
5,3105.640,117,148,78204373.409,0.938028,51200.583928,46325.528955,21804.705033,31367213.922
6,3550.472,117,65,73770356.070,0.935185,46831.161967,43156.218754,18185.117928,31051644.755
7,4295.604,102,159,70377350.719,0.933541,43014.194645,40291.007650,15061.727773,30828676.127
8,4729.885,117,62,67707768.927,0.932178,39961.721487,37941.526830,12545.107652,30698130.638
9,5134.091,97,64,65582381.256,0.931083,37497.038382,35804.064419,11139.876953,30635477.505
10,5928.185,107,171,63825498.319,0.930547,35029.724806,33700.319601,9558.769732,30539652.903
11,6336.253,116,55,62378734.297,0.929804,32994.239280,31912.839072,8377.978756,30488080.644
12,6733.548,97,62,61179784.063,0.929226,31151.863549,30293.661463,7261.726910,30464901.589
13,7178.104,105,69,60167089.270,0.928735,29495.154128,28734.105326,6656.974400,30443907.937
14,7991.560,106,176,59297036.572,0.928546,27787.131510,27146.193709,5933.704123,30402323.424
15,8415.303,125,54,58557202.269,0.928155,26374.662675,25808.523121,5435.344101,30382331.965
