iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,685.229,0,0,4078447.686,1.071697,5364.464314,5364.464314,0.000000,2736420.870
2,1365.746,0,0,3333812.210,1.024344,2599.316018,2599.316018,0.000000,2050721.579
3,2044.584,0,0,3081030.217,1.027785,2147.510560,2147.510560,0.000000,1862112.116
4,2733.345,0,0,2944745.684,1.042174,2042.753653,2042.753653,0.000000,1776128.887
5,3410.935,0,0,2854105.538,1.057154,1999.954836,1999.954836,0.000000,1727417.757
6,4124.336,0,0,2786295.626,1.070235,1968.284202,1968.284202,0.000000,1696065.002
7,4803.813,0,0,2731878.458,1.080978,1939.598806,1939.598806,0.000000,1674195.247
8,5492.330,0,0,2686157.639,1.089482,1912.253208,1912.253208,0.000000,1658032.055
9,6175.848,0,0,2646522.649,1.095995,1885.733634,1885.733634,0.000000,1645547.561
10,6854.295,0,0,2611407.728,1.100808,1859.911956,1859.911956,0.000000,1635570.565
11,7549.522,0,0,2579810.159,1.104217,1834.785421,1834.785421,0.000000,1627380.880
12,8236.258,0,0,2551052.899,1.106494,1810.341230,1810.341230,0.000000,1620515.099
13,8927.059,0,0,2524658.466,1.107865,1786.557242,1786.557242,0.000000,1614664.740
14,9608.516,0,0,2500276.086,1.108519,1763.436147,1763.436147,0.000000,1609616.722
15,10290.649,0,0,2477637.774,1.108607,1740.995233,1740.995233,0.000000,1605217.578
16,10980.801,0,0,2456531.395,1.108253,1719.244954,1719.244954,0.000000,1601351.926
17,11660.179,0,0,2436783.957,1.107555,1698.176828,1698.176828,0.000000,1597929.501
18,12344.913,0,0,2418251.445,1.106592,1677.763150,1677.763150,0.000000,1594877.981
19,13027.523,0,0,2400812.368,1.105424,1657.969061,1657.969061,0.000000,1592138.978
20,13708.896,0,0,2384363.097,1.104106,1638.763369,1638.763369,0.000000,1589665.103
21,14387.750,0,0,2368814.383,1.102680,1620.119052,1620.119052,0.000000,1587417.715
22,15074.830,0,0,2354088.670,1.101181,1602.011225,1602.011225,0.000000,1585365.147
23,15761.212,0,0,2340118.014,1.099639,1584.415992,1584.415992,0.000000,1583481.248
24,16443.435,0,0,2326842.514,1.098077,1567.309960,1567.309960,0.000000,1581744.295
25,17132.751,0,0,2314209.121,1.096513,1550.670238,1550.670238,0.000000,1580136.212
26,17821.503,0,0,2302170.656,1.094962,1534.474727,1534.474727,0.000000,1578641.952
27,18505.767,0,0,2290684.976,1.093435,1518.702385,1518.702385,0.000000,1577248.974
28,19293.457,0,0,2279714.238,1.091942,1503.333339,1503.333339,0.000000,1575946.760
29,19978.538,0,0,2269224.294,1.090488,1488.349083,1488.349083,0.000000,1574726.408
30,20700.338,0,0,2259184.178,1.089076,1473.732669,1473.732669,0.000000,1573580.300
31,21388.189,0,0,2249565.706,1.087709,1459.468659,1459.468659,0.000000,1572501.850
32,22073.356,0,0,2240343.141,1.086388,1445.542968,1445.542968,0.000000,1571485.333
33,22756.347,0,0,2231492.914,1.085113,1431.942668,1431.942668,0.000000,1570525.750
34,23445.788,0,0,2222993.371,1.083885,1418.655684,1418.655684,0.000000,1569618.703
35,24136.990,0,0,2214824.555,1.082700,1405.670401,1405.670401,0.000000,1568760.288
36,24829.717,0,0,2206968.016,1.081559,1392.975307,1392.975307,0.000000,1567947.003
37,25651.293,0,0,2199406.664,1.080458,1380.558805,1380.558805,0.000000,1567175.682
