iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,2.402,8,2,10451547.459,2.120917,285139.222324,30334.158526,283521.101391,8514355.905
2,6.333,11,6,5980252.466,1.286519,104191.649409,9581.692372,103750.137243,4048766.264
3,12.183,16,10,5191923.104,0.951414,64563.125787,6029.321081,64280.980847,3357453.623
4,20.858,17,20,4712798.529,0.912248,66286.319428,4979.233063,66099.042212,2926737.178
5,30.040,20,20,4237290.504,0.905983,51927.177867,4718.058609,51712.394300,2475483.184
6,39.227,20,20,3930778.386,0.915563,44526.855052,5027.585831,44242.108919,2251996.069
7,44.725,17,8,3778871.887,0.916306,26901.586048,4052.958694,26594.526838,2190749.635
8,47.622,8,4,3714377.763,0.914374,26007.959384,2790.707722,25857.801564,2184404.973
9,56.815,20,20,3587810.512,0.934313,39271.954156,4666.743256,38993.690394,2100506.104
10,60.236,8,6,3510925.219,0.929449,25020.257374,3490.642645,24775.566451,2079048.866
11,64.515,13,6,3452440.352,0.929827,22356.695680,3313.472584,22109.788356,2069779.559
12,71.296,6,20,3383625.385,0.933246,28455.425216,4039.335939,28167.268050,2028211.122
13,76.862,19,7,3306991.276,0.935605,19181.470133,3354.870334,18885.805291,2007261.124
14,80.276,8,6,3268836.311,0.933933,19061.185568,2882.868677,18841.917722,2001584.728
15,89.478,20,20,3200163.085,0.943630,25197.418594,4024.690639,24873.917445,1962621.216
16,92.625,8,5,3157963.897,0.941083,18244.260278,2870.972369,18016.951761,1952935.845
17,98.124,20,6,3118038.039,0.944585,16076.423730,2904.298467,15811.908498,1943881.312
18,102.075,8,8,3089752.245,0.943216,14735.898760,2904.825922,14446.753913,1938329.149
19,104.720,8,3,3068395.804,0.942531,14397.656939,1920.997842,14268.927522,1939997.502
20,113.915,20,20,3023705.171,0.950122,20721.040552,3723.818603,20383.687021,1908826.912
21,117.064,8,5,2993618.429,0.948136,15129.874359,2637.932657,14898.134428,1902245.998
22,120.895,12,5,2970126.337,0.947912,13567.356293,2532.753845,13328.852717,1899429.953
23,124.325,5,8,2952637.725,0.947664,10494.281252,2425.004699,10210.254219,1896873.524
24,129.270,20,4,2930412.254,0.950736,11628.428414,2079.898335,11440.907757,1895403.250
25,136.396,8,20,2898609.649,0.951832,18270.632386,3503.182921,17931.640114,1871730.817
26,139.801,8,6,2875448.374,0.951077,11533.952467,2500.716988,11259.594755,1866303.600
27,145.324,20,6,2852305.748,0.953068,10817.404662,2506.578047,10522.989599,1862067.568
28,149.270,8,8,2835931.827,0.952302,9967.298967,2475.318412,9655.042593,1858643.126
29,151.903,8,3,2823697.760,0.951768,9584.087122,1638.908522,9442.918236,1859653.285
30,161.101,20,20,2795250.046,0.956357,16192.356997,3265.704342,15859.621694,1837869.097
31,164.532,8,6,2775811.045,0.955246,10069.043920,2408.160947,9776.830075,1832513.422
32,170.012,20,6,2758017.992,0.956229,9070.366515,2312.258091,8770.690466,1829103.877
33,173.970,8,8,2745313.051,0.955667,8419.833841,2327.029417,8091.880869,1826480.972
34,176.585,8,3,2735671.360,0.955213,8015.235262,1541.220241,7865.661858,1827298.565
35,181.575,20,4,2725130.525,0.957077,8812.343233,1832.429904,8619.721220,1825416.479
36,188.702,8,20,2704863.577,0.957791,13726.962167,3149.820678,13360.693097,1809238.646
37,192.119,8,6,2690297.800,0.957407,8620.491474,2195.774086,8336.153154,1805385.081
38,197.637,20,6,2676494.628,0.958351,7782.374620,2165.254453,7475.093838,1802719.209
39,201.585,8,8,2666531.071,0.957987,7287.316087,2154.146849,6961.654050,1800563.794
