iter,time,#cg,#ls,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,20.429,3,0,230709054.699,2.023389,1606084.337046,787518.275917,1399757.787191,157609347.107
2,63.521,8,1,126011147.885,1.711152,924649.697211,539696.742865,750802.562791,89947204.533
3,160.805,20,1,96552286.700,1.564423,1825204.969041,411651.875536,1778177.694265,77004049.603
4,180.475,3,0,78829932.971,1.327646,474683.607301,161533.057429,446353.669636,53054299.608
5,276.722,20,0,68503507.093,1.215400,736074.838399,100530.412285,729177.484519,48136334.154
6,305.173,5,0,66200403.424,1.163090,209697.418644,51531.422794,203267.114534,44734533.833
7,401.425,20,0,64029373.109,1.129177,161073.774845,40188.736035,155979.570581,43739234.991
8,497.711,20,0,63007124.350,1.096588,126002.115213,29973.303141,122385.187572,43071767.152
9,594.219,20,0,62359757.188,1.088609,83403.846576,25930.488234,79270.495165,42947539.215
10,690.817,20,0,61895944.620,1.071119,95472.540546,22716.064574,92730.719875,42606353.229
11,787.462,20,0,61499344.504,1.066650,70272.900962,21593.630028,66872.982226,42488977.536
12,884.120,20,0,61091406.827,1.054607,95264.521326,20348.346579,93065.964858,42076422.710
13,981.099,20,0,60648016.998,1.050837,75022.152375,21369.868890,71914.199228,41692132.766
14,1078.033,20,0,60177386.786,1.040669,110058.894399,18490.041826,108494.601661,41140822.732
15,1174.806,20,0,59767879.952,1.037434,70515.167440,18317.592533,68094.453833,40720296.078
16,1271.478,20,0,59408614.712,1.029114,113257.765676,16326.367612,112074.846449,40371410.006
17,1368.135,20,0,59089111.821,1.026252,56301.656872,15237.614079,54200.476785,40019389.722
18,1464.922,20,0,58819408.308,1.019072,113064.960480,14635.709756,112113.698041,39812551.347
19,1561.589,20,0,58558772.561,1.016354,45771.072527,12922.830620,43908.900340,39487102.772
20,1658.273,20,0,58330945.968,1.009744,112783.425096,13408.624042,111983.524582,39332862.090
21,1755.354,20,0,58103137.679,1.007088,37862.137658,11385.125341,36109.837843,39010944.049
22,1852.059,20,0,57891213.404,1.001119,109988.122042,12523.028658,109272.872863,38846299.904
23,1926.076,15,0,57705884.566,0.998760,32350.577105,10205.291152,30698.727522,38522198.354
24,2022.760,20,0,57331824.899,0.987683,141184.602627,13588.457102,140529.163708,38043466.926
25,2083.106,12,0,57081436.735,0.985551,39472.077600,8728.799888,38494.843325,37735961.796
26,2179.800,20,0,56903200.329,0.981249,121325.181289,13913.783010,120524.712226,37592387.282
27,2244.716,13,0,56774627.307,0.979045,34566.910150,8182.946314,33584.381294,37313620.075
28,2341.441,20,0,56573781.553,0.973369,88565.592286,15297.781947,87234.408375,36966652.016
29,2438.185,20,0,56420101.191,0.971646,33200.885035,7838.128984,32262.400735,36760884.493
30,2534.791,20,0,56321320.901,0.968911,59618.108925,12201.324249,58356.204455,36657492.163
31,2631.622,20,0,56226267.455,0.967739,30052.353549,7267.224945,29160.442305,36476330.131
32,2728.397,20,0,56135627.398,0.965163,56049.026587,10963.579113,54966.292529,36334521.247
33,2825.143,20,0,56047515.321,0.964157,28252.460869,6800.082029,27421.896899,36175045.103
34,2921.829,20,0,55955642.179,0.961495,55795.177870,10030.025084,54886.250286,36042811.949
35,3018.469,20,0,55866562.728,0.960516,26922.549180,6359.172239,26160.745073,35872017.664
36,3115.236,20,0,55773518.707,0.957829,55186.722367,8889.340782,54466.080693,35708485.453
37,3212.052,20,0,55685784.038,0.956855,26710.679934,5925.289312,26045.179384,35546093.022
38,3308.872,20,0,55600714.168,0.954416,52408.080194,7871.566075,51813.563062,35419043.301
39,3405.626,20,0,55521111.316,0.953474,27619.169318,5522.467455,27061.427661,35256933.711
40,3502.352,20,0,55453221.411,0.951528,45577.396826,6996.215344,45037.229847,35127956.631
41,3599.149,20,0,55391116.014,0.950749,30486.173226,5198.534068,30039.673791,35008836.157
42,3695.853,20,0,55341454.788,0.949380,38606.954417,6399.505657,38072.867724,34940595.544
43,3792.704,20,0,55295703.893,0.948741,31465.752904,4953.909988,31073.338759,34840378.296
44,3889.597,20,0,55254704.554,0.947577,35247.999135,6084.591096,34718.859345,34759691.208
45,3986.404,20,0,55216692.094,0.947054,30771.855420,4739.739111,30404.637132,34688333.859
46,4083.441,20,0,55179926.305,0.945990,33550.098012,5906.238938,33026.132353,34619214.619
47,4180.249,20,0,55145800.684,0.945530,29597.768444,4551.726157,29245.678071,34555436.247
48,4276.995,20,0,55112191.642,0.944526,32212.958382,5715.719472,31701.817592,34482541.856
49,4373.840,20,0,55081096.565,0.944123,28617.821156,4382.492749,28280.266000,34429131.687
50,4470.540,20,0,55050478.066,0.943195,30950.719291,5518.204816,30454.826222,34361949.315
51,4567.403,20,0,55022117.041,0.942835,27785.383226,4231.822043,27461.230913,34313639.849
52,4664.288,20,0,54994268.476,0.941979,29725.920852,5319.478196,29246.085588,34249642.799
53,4761.002,20,0,54968388.630,0.941655,27077.567748,4097.818899,26765.697365,34206389.720
54,4857.856,20,0,54943035.781,0.940870,28534.003381,5132.898268,28068.535842,34147582.086
55,4954.599,20,0,54919357.722,0.940576,26419.292225,3978.574350,26118.000456,34107590.205
