iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,690.828,0,0,21231881.620,0.968652,46088.886650,46088.886650,0.000000,3957708.688
2,1386.355,0,0,19407424.734,0.989722,26429.123500,26429.123500,0.000000,4128736.136
3,2080.780,0,0,18967458.464,1.010964,14413.646242,14413.646242,0.000000,4316985.104
4,2784.583,0,0,18851253.079,1.024290,7674.925718,7674.925718,0.000000,4438811.518
5,3475.975,0,0,18820105.908,1.031907,4035.226924,4035.226924,0.000000,4509225.497
6,4172.505,0,0,18811735.792,1.036062,2107.036731,2107.036731,0.000000,4547827.600
7,4913.096,0,0,18809486.398,1.038274,1096.162040,1096.162040,0.000000,4568423.400
8,5619.357,0,0,18808882.076,1.039436,569.156912,569.156912,0.000000,4579258.242
9,6310.842,0,0,18808719.754,1.040042,295.221369,295.221369,0.000000,4584916.507
10,7004.944,0,0,18808676.158,1.040357,153.050649,153.050649,0.000000,4587860.190
11,7714.535,0,0,18808664.449,1.040521,79.324260,79.324260,0.000000,4589388.607
12,8417.590,0,0,18808661.304,1.040606,41.107329,41.107329,0.000000,4590181.378
13,9104.605,0,0,18808660.459,1.040650,21.301314,21.301314,0.000000,4590592.362
14,9793.930,0,0,18808660.232,1.040673,11.037866,11.037866,0.000000,4590805.363
15,10483.413,0,0,18808660.171,1.040685,5.719609,5.719609,0.000000,4590915.739
16,11195.242,0,0,18808660.154,1.040691,2.963863,2.963863,0.000000,4590972.932
17,11884.792,0,0,18808660.150,1.040694,1.535917,1.535917,0.000000,4591002.565
18,12580.661,0,0,18808660.149,1.040695,0.795983,0.795983,0.000000,4591017.920
19,13278.972,0,0,18808660.148,1.040696,0.412549,0.412549,0.000000,4591025.875
20,14005.965,0,0,18808660.148,1.040697,0.213844,0.213844,0.000000,4591029.997
