iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,35.879,11,3,85070091.711,2.118433,2094333.359094,102574.826812,2091819.931045,82699046.436
2,99.872,15,9,49730583.636,1.411192,712854.385250,27058.929078,712340.641075,47233457.787
3,211.468,20,20,41951392.081,1.080204,569011.640139,17543.706482,568741.122987,39421775.183
4,323.063,20,20,37705057.240,1.010735,508031.888135,13083.197346,507863.396308,35141292.996
5,435.170,20,20,35301616.867,0.982050,381609.401530,8964.727191,381504.087793,32732397.771
6,547.159,20,20,33967236.360,0.972294,330014.429245,7645.797595,329925.848168,31414037.725
7,659.159,20,20,33195529.639,0.968165,298459.930879,5787.885452,298403.804805,30662940.739
8,771.224,20,20,32708494.351,0.968261,238663.395074,5183.762657,238607.092839,30190042.964
9,884.215,20,20,32356672.762,0.969153,233150.912393,4424.114974,233108.934098,29853761.392
10,996.721,20,20,32083746.703,0.971032,190745.135334,4159.842489,190699.770225,29598521.047
11,1108.864,20,20,31861631.892,0.972979,198964.815467,3823.791976,198928.068429,29396189.648
12,1221.807,20,20,31676914.687,0.975237,159962.477497,3543.372925,159923.227566,29231198.641
13,1334.540,20,20,31518550.392,0.977519,170592.737837,3500.522455,170556.819112,29094318.647
14,1446.892,20,20,31381826.358,0.979807,137414.479358,3235.629068,137376.380218,28978248.499
15,1560.330,20,20,31259113.941,0.982162,161215.384800,3333.476637,161180.917697,28877392.355
16,1672.555,20,20,31149498.159,0.984442,128492.370813,3151.031706,128453.728464,28789231.380
17,1785.348,20,20,31051763.189,0.986822,112547.358045,3094.389016,112504.811273,28713586.478
18,1897.485,20,20,30963471.457,0.989040,117077.370100,2769.267797,117044.614338,28646408.541
19,2010.096,20,20,30883377.703,0.991298,101800.218966,2742.113299,101763.281179,28587976.181
20,2122.428,20,20,30810148.928,0.993420,96565.022199,2609.726548,96529.751059,28535423.369
21,2234.657,20,20,30742121.054,0.995546,92389.060329,2603.697660,92352.364490,28488403.807
22,2347.263,20,20,30679070.887,0.997596,87391.952900,2575.049391,87354.007077,28445509.560
23,2460.111,20,20,30620008.620,0.999626,83816.221264,2547.704916,83777.491885,28406571.903
24,2572.615,20,20,30564583.121,1.001583,84074.407636,2551.947751,84035.668511,28370613.429
25,2685.509,20,20,30512498.637,1.003526,77163.982311,2483.749999,77123.998548,28337736.671
26,2797.963,20,20,30462823.593,1.005400,82235.419687,2481.330052,82197.975963,28306736.536
27,2910.770,20,20,30416026.436,1.007279,75407.647292,2435.084279,75368.319835,28278253.052
28,3022.981,20,20,30371686.046,1.009064,69898.287036,2420.156178,69856.376765,28251680.867
29,3135.361,20,20,30329536.898,1.010867,67366.577694,2438.588483,67322.426252,28227015.230
30,3247.502,20,20,30289534.504,1.012585,63065.069687,2342.388422,63021.553703,28203957.180
31,3359.719,20,20,30251010.288,1.014337,61795.710053,2353.350797,61750.882755,28182279.504
32,3472.379,20,20,30214337.843,1.015985,59944.593289,2273.832691,59901.451981,28161768.856
33,3584.984,20,20,30179443.011,1.017654,58455.637998,2257.186553,58412.042616,28142753.821
34,3697.253,20,20,30146103.402,1.019216,56560.170692,2210.802122,56516.946686,28124785.160
35,3770.685,20,9,30121520.913,1.020334,33658.593486,1939.367458,33602.675032,28115593.694
36,3882.860,20,20,30091940.255,1.022114,69167.844496,2248.492562,69131.288093,28097881.083
37,3956.365,20,9,30068041.738,1.023110,31074.393968,1895.271758,31016.542448,28088103.554
38,4068.907,20,20,30039224.364,1.025028,75032.158895,2353.418275,74995.241789,28070646.829
39,4138.878,20,8,30015414.410,1.025873,34382.166617,1844.555362,34332.652050,28061047.671
40,4251.220,20,20,29989693.319,1.027599,61849.116250,2216.253335,61809.395743,28045954.974
41,4324.902,20,9,29968573.650,1.028463,32583.856197,1767.251037,32535.895691,28037997.323
42,4437.794,20,20,29944117.956,1.030135,61984.333208,2189.034757,61945.667242,28023965.606
43,4511.256,20,9,29924253.815,1.030932,30016.518924,1714.244522,29967.528661,28016491.130
44,4623.525,20,20,29901476.444,1.032579,59629.227081,2179.469543,59589.383575,28003544.247
45,4697.183,20,9,29882688.012,1.033329,27704.694850,1710.638217,27651.832374,27996855.555
46,4809.545,20,20,29861072.678,1.034886,57374.921490,2132.784951,57335.267021,27984676.635
47,4883.316,20,9,29843214.423,1.035602,28014.068245,1689.627487,27963.068118,27978471.798
48,4996.275,20,20,29822816.244,1.037153,54720.608498,2088.143989,54680.752089,27967133.198
49,5069.751,20,9,29806001.792,1.037833,27309.337628,1678.607623,27257.699795,27961503.509
50,5125.918,20,4,29794284.151,1.038427,28579.434303,1453.954411,28542.425995,27958902.837
51,5238.478,20,20,29776269.928,1.040106,51898.029809,1980.283005,51860.235029,27947709.447
52,5308.566,20,8,29760306.745,1.040782,26569.747186,1653.311816,26518.258343,27942341.080
53,5420.677,20,20,29740382.259,1.042580,53032.642917,2136.446312,52989.591543,27931774.872
54,5490.697,20,8,29724522.090,1.043219,26878.317027,1587.834516,26831.375435,27926320.137
55,5553.636,20,6,29713399.998,1.043900,27001.537246,1558.622906,26956.515136,27923727.425
56,5646.302,9,20,29699518.567,1.045071,48108.224987,1831.329726,48073.355851,27915165.464
57,5716.305,20,8,29685799.129,1.045605,24629.244689,1613.703690,24576.323044,27911617.104
58,5779.300,20,6,29674976.703,1.046286,26963.903600,1528.704813,26920.534151,27909150.811
59,5871.718,9,20,29661177.925,1.047527,50982.237846,1880.632121,50947.539672,27900472.289
60,5941.647,20,8,29647486.138,1.047991,22934.827640,1581.753604,22880.217971,27896741.245
61,6004.515,20,6,29637058.329,1.048612,25101.230570,1499.924739,25056.376472,27894462.063
62,6054.549,9,8,29630013.977,1.048916,26910.645003,1441.339313,26872.018076,27892784.956
63,6166.917,20,20,29614560.156,1.050454,45139.217596,1958.468664,45096.711251,27885004.914
64,6211.819,10,6,29604639.343,1.050660,30132.158522,1465.158511,30096.516206,27881743.709
65,6278.355,20,7,29594522.126,1.051195,24826.629288,1606.048194,24774.626758,27880809.668
