iter,time,#cg,#ls,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,9.852,31,1,1165460.927,1.619168,90813.704219,48340.681918,76878.523306,1139637.392
2,40.177,100,0,572697.586,1.230573,10971.776805,6887.260569,8540.815425,532090.897
3,100.609,200,0,274134.105,1.034226,4848.626178,3105.774307,3723.350879,241959.280
4,161.432,200,0,231478.175,1.058946,2846.764833,1664.963908,2309.104848,195699.486
5,226.027,200,0,213867.500,1.066308,2918.252624,1711.810510,2363.451534,176922.880
6,285.883,200,0,204341.436,1.061068,3560.981214,1807.123281,3068.369706,167287.282
7,346.242,200,0,199005.559,1.067486,4228.062072,2515.549064,3398.311609,161307.833
8,405.803,200,1,189685.345,1.053562,3503.518633,1865.533475,2965.540029,152687.372
9,475.005,200,0,184162.856,1.059449,296.021993,175.751929,238.202182,146294.740
10,534.498,200,0,182046.959,1.062007,266.742604,153.974112,217.815494,143907.595
11,595.379,200,0,180534.014,1.061791,327.649450,189.841007,267.047849,142313.384
12,654.889,200,0,179390.120,1.063453,551.680436,280.595454,474.992099,141005.628
13,714.811,200,0,178534.966,1.063362,892.789639,515.351416,729.031040,140119.241
14,782.825,200,0,177917.107,1.064986,1436.178608,704.189070,1251.689557,139397.124
15,843.054,200,0,177524.260,1.065367,1908.884561,1111.975224,1551.564169,138992.878
16,903.000,200,0,177304.086,1.067086,2608.109163,1254.763693,2286.438602,138703.687
17,962.213,170,1,176602.683,1.066535,2010.191241,1075.371316,1698.365496,138071.591
18,1022.080,200,0,175637.362,1.066936,112.554769,65.926250,91.226671,136887.376
19,1094.177,200,0,175225.786,1.067710,103.874019,61.990309,83.348746,136426.061
20,1153.335,200,0,174869.220,1.068329,104.250388,59.110564,85.872490,136027.322
21,1212.906,200,0,174555.194,1.068926,113.787705,67.965530,91.259677,135674.221
22,1271.969,200,0,174278.081,1.069476,168.592293,84.796248,145.715330,135362.046
23,1331.781,200,0,174034.451,1.069979,251.847654,145.301070,205.705712,135088.946
24,1391.534,200,0,173819.973,1.070508,397.577482,194.424119,346.795496,134846.162
25,1452.836,200,0,173634.895,1.070988,535.468237,305.375822,439.854340,134638.903
26,1512.719,200,0,173474.124,1.071534,738.039904,360.071864,644.244637,134455.292
27,1572.953,200,0,173338.350,1.072019,877.189482,501.303300,719.830805,134301.960
28,1640.982,200,0,173221.867,1.072582,1106.214786,537.572296,966.812898,134166.643
29,1700.425,200,0,173125.405,1.073058,1224.638927,700.653840,1004.402657,134055.897
30,1767.924,200,0,173042.532,1.073627,1464.956730,708.835723,1282.049195,133957.273
31,1812.763,149,0,172948.100,1.074111,1491.184384,855.496502,1221.374882,133848.820
32,1852.530,134,1,172708.282,1.074111,1172.846033,618.208343,996.687645,133633.446
33,1911.353,200,0,172411.169,1.074431,59.968901,35.434897,48.380132,133226.031
34,1970.164,200,0,172286.383,1.074838,56.672753,33.898800,45.416652,133084.958
35,2039.560,200,0,172170.694,1.075301,55.219486,33.122883,44.182194,132951.076
36,2105.266,200,0,172061.385,1.075695,54.185680,32.111977,43.645261,132826.904
37,2164.344,200,0,171959.190,1.076144,55.077950,33.205187,43.943100,132708.084
38,2224.180,200,0,171863.234,1.076516,62.808753,34.034313,52.788304,132599.543
39,2283.760,200,0,171774.160,1.076940,79.498417,47.011165,64.108881,132496.206
40,2342.760,200,0,171691.121,1.077293,117.325457,56.818863,102.649305,132403.199
41,2403.102,200,0,171614.488,1.077698,155.367017,89.631952,126.905567,132314.753
42,2463.215,200,0,171543.270,1.078035,219.380070,105.924015,192.113815,132235.826
