iter,time,#cg,#ls,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,20.416,3,0,279851750.513,2.146890,1458154.107750,738701.991161,1257192.415743,170758684.217
2,72.675,10,1,167280214.792,1.975620,1828863.473672,652925.544275,1708341.253662,125637348.869
3,123.623,10,0,111499485.580,1.539696,928243.613185,219133.105470,902007.143822,62713890.011
4,219.789,20,0,97815659.050,1.484147,1695642.857242,195077.230364,1684384.033856,65082356.746
5,248.253,5,0,87317761.971,1.320383,474409.388100,81383.863173,467376.651462,50182227.088
6,340.009,19,0,82169828.050,1.244007,139254.121085,40818.371945,133137.413040,45374603.928
7,436.286,20,0,80907458.361,1.196972,204884.500903,38251.396875,201282.113829,44914063.783
8,532.543,20,0,80095205.031,1.168228,85583.110903,25183.766830,81793.928627,44040074.062
9,628.935,20,0,79607756.578,1.141535,134494.662637,28582.592786,131422.409304,43908039.578
10,725.176,20,0,79206735.033,1.126300,60319.904873,17871.840780,57611.528630,43465893.634
11,821.456,20,0,78920318.560,1.107895,111606.713502,22579.172911,109298.853834,43432021.753
12,917.763,20,0,78668977.962,1.097609,45579.419834,13264.967683,43606.469070,43122697.624
13,1014.153,20,0,78479643.878,1.083266,97620.535042,17490.886677,96040.812913,43107433.230
14,1105.898,19,0,78309682.937,1.076043,29073.913949,10253.766727,27205.748294,42861842.985
15,1202.178,20,0,78122567.355,1.058993,170092.393893,14075.988529,169508.964386,42777544.474
16,1249.247,9,0,77989396.461,1.056387,46034.383896,10698.395056,44773.975074,42573229.135
17,1345.845,20,0,77878443.033,1.049145,62666.292856,11777.101151,61549.688454,42390061.064
18,1442.522,20,0,77770350.926,1.046394,46260.846347,12134.004725,44641.145081,42302063.595
19,1539.269,20,0,77652801.559,1.041302,55786.875653,11843.018375,54515.304373,42081909.842
20,1635.948,20,0,77526196.039,1.038311,53485.488316,13783.049943,51679.057602,41935298.383
21,1732.788,20,0,77396789.103,1.034053,54468.600006,11877.229519,53157.876233,41676792.337
22,1829.334,20,0,77258120.031,1.031082,60591.168044,14531.866450,58822.737971,41508558.729
23,1926.158,20,0,77125674.771,1.027237,50249.878655,11361.742838,48948.555694,41233606.427
24,2022.980,20,0,76991745.629,1.024122,65908.272026,14602.116463,64270.354879,41085821.979
25,2119.650,20,0,76863086.857,1.020600,42937.138563,10273.419784,41689.983377,40807207.497
26,2216.466,20,0,76739654.941,1.017163,70190.825544,14399.594315,68697.916083,40700343.059
27,2313.209,20,0,76614130.710,1.013855,33811.836751,8928.793238,32611.607685,40412995.847
28,2409.868,20,0,76499631.152,1.009752,74410.055840,13889.896557,73102.169487,40341285.396
29,2488.345,16,0,76380070.447,1.006839,20905.702218,7502.794155,19512.981963,40040493.350
30,2584.971,20,0,76142568.200,0.995078,127228.111427,14019.199521,126453.368410,39720736.735
31,2640.780,11,0,75997456.335,0.992008,34380.344151,6637.699825,33733.499743,39424659.222
32,2737.515,20,0,75966651.353,0.990369,46849.021248,6824.216952,46349.334999,39404542.079
33,2834.085,20,0,75940950.453,0.989753,22867.752748,5275.540293,22250.905382,39387191.047
34,2930.722,20,0,75918252.387,0.988139,37053.733606,6248.021110,36523.162601,39347068.199
