iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,0.207,4,2,2711982.810,1.590661,44660.681415,19697.881068,40082.040190,1131201.455
2,0.457,4,5,2028313.629,1.117129,14239.405311,10905.571312,9155.827542,550267.026
3,0.721,4,6,1924443.114,1.044570,6901.497955,5984.743974,3437.079222,480835.132
4,1.118,6,10,1897988.803,1.041165,2680.558096,2284.259616,1402.693734,479156.443
5,1.620,3,17,1893867.905,1.039801,987.311923,850.916353,500.725667,477735.533
6,2.383,13,20,1892011.232,1.039825,402.300746,301.486576,266.367668,478247.926
7,3.211,19,18,1891677.608,1.040163,228.606640,193.881366,121.123952,478507.842
8,3.814,5,20,1891599.308,1.041011,194.691092,83.613750,175.821961,479277.878
9,4.551,17,16,1891564.584,1.040800,92.439606,71.227380,58.921483,479107.802
10,5.146,4,20,1891542.905,1.041380,120.887789,24.720372,118.333262,479610.361
11,5.839,20,12,1891534.996,1.041158,41.257849,26.483503,31.635963,479416.612
12,6.425,4,20,1891529.405,1.041220,42.486894,15.171834,39.685660,479464.831
13,6.967,8,15,1891527.219,1.041302,13.629136,7.286170,11.518033,479544.901
14,7.812,18,20,1891525.547,1.041292,21.666349,6.889700,20.541731,479527.042
15,8.475,8,20,1891524.845,1.041348,9.852047,4.109746,8.953927,479582.201
16,9.260,15,20,1891524.545,1.041332,11.972822,1.962448,11.810896,479565.570
17,10.124,19,20,1891524.334,1.041349,8.237404,1.620221,8.076491,479581.969
18,10.836,11,20,1891524.180,1.041337,9.696944,1.417538,9.592773,479569.437
19,11.530,10,20,1891524.053,1.041343,6.757510,1.255699,6.639816,479576.037
20,12.150,6,20,1891523.947,1.041338,8.189828,1.125279,8.112153,479570.686
21,12.941,15,20,1891523.851,1.041338,10.094328,0.970819,10.047535,479570.746
22,13.595,8,20,1891523.770,1.041337,6.905985,0.888697,6.848565,479570.156
23,14.418,16,20,1891523.704,1.041342,4.547754,0.778351,4.480652,479574.782
24,15.108,9,20,1891523.644,1.041338,8.142762,0.680107,8.114310,479571.080
25,15.902,15,20,1891523.593,1.041338,3.699363,0.646932,3.642357,479571.188
26,16.561,8,20,1891523.549,1.041336,4.949794,0.629069,4.909657,479568.691
27,17.384,16,20,1891523.511,1.041339,3.438278,0.541092,3.395435,479571.477
28,18.045,8,20,1891523.477,1.041336,4.471734,0.534810,4.439638,479568.889
29,18.847,15,20,1891523.445,1.041338,5.208198,0.488586,5.185230,479570.594
30,19.507,8,20,1891523.418,1.041337,3.290634,0.459011,3.258463,479569.168
31,20.302,15,20,1891523.394,1.041338,3.213875,0.424610,3.185703,479570.320
32,20.965,8,20,1891523.373,1.041337,3.156293,0.406796,3.129969,479569.506
33,21.763,15,20,1891523.354,1.041338,2.845033,0.370860,2.820758,479570.000
34,22.430,8,20,1891523.336,1.041337,4.345653,0.346381,4.331827,479569.296
35,23.243,16,20,1891523.320,1.041336,2.033630,0.331046,2.006504,479568.606
36,23.911,8,20,1891523.306,1.041337,2.644209,0.317017,2.625137,479569.741
37,24.701,15,20,1891523.293,1.041337,3.330953,0.305258,3.316936,479569.375
38,25.362,8,20,1891523.282,1.041337,2.243278,0.281404,2.225558,479569.003
39,26.157,15,20,1891523.272,1.041336,1.700887,0.267162,1.679774,479568.582
40,26.820,8,20,1891523.263,1.041337,2.181847,0.255567,2.166828,479569.222
41,27.613,15,20,1891523.255,1.041336,1.915474,0.240934,1.900261,479568.708
42,28.276,8,20,1891523.247,1.041336,1.897977,0.228348,1.884191,479568.264
43,29.060,15,20,1891523.240,1.041337,3.275357,0.215265,3.268276,479569.132
44,29.295,8,2,1891523.239,1.041335,0.970896,0.108716,0.964790,479567.398
45,30.141,18,20,1891523.231,1.041335,4.064184,0.214266,4.058532,479567.532
46,30.688,13,11,1891523.225,1.041334,1.072393,0.200224,1.053536,479566.645
47,31.461,14,20,1891523.212,1.041338,2.211856,0.327445,2.187484,479570.596
48,32.083,16,12,1891523.203,1.041335,0.665853,0.266977,0.609987,479567.683
49,32.756,9,20,1891523.195,1.041337,2.113341,0.303808,2.091390,479570.054
50,33.416,17,13,1891523.190,1.041334,0.632476,0.247811,0.581907,479567.045
51,34.110,10,20,1891523.189,1.041336,0.996453,0.161238,0.983321,479568.289
52,34.970,18,20,1891523.187,1.041335,0.569367,0.127611,0.554882,479567.616
53,35.671,10,20,1891523.186,1.041336,0.796708,0.090737,0.791524,479567.985
54,36.502,17,20,1891523.185,1.041336,0.534833,0.077724,0.529155,479568.178
55,37.203,10,20,1891523.184,1.041336,0.696909,0.065752,0.693800,479567.966
56,38.015,16,20,1891523.184,1.041335,0.521281,0.060604,0.517746,479568.109
57,38.692,9,20,1891523.183,1.041336,0.628960,0.055517,0.626506,479568.029
58,39.510,17,20,1891523.182,1.041335,1.269562,0.057366,1.268265,479568.063
59,39.803,11,2,1891523.182,1.041335,0.294754,0.030879,0.293132,479567.778
60,40.665,18,20,1891523.181,1.041336,1.091951,0.062232,1.090177,479568.207
61,41.294,14,14,1891523.181,1.041336,0.305048,0.051542,0.300662,479568.130
62,42.069,14,20,1891523.180,1.041334,0.820015,0.093008,0.814723,479566.768
63,42.721,15,14,1891523.179,1.041336,0.214872,0.062823,0.205483,479568.167
64,43.417,10,20,1891523.178,1.041336,0.726206,0.103742,0.718758,479568.569
65,44.051,14,14,1891523.178,1.041335,0.224759,0.078965,0.210431,479567.858
66,44.713,8,20,1891523.177,1.041335,0.477473,0.058412,0.473886,479567.614
67,45.511,19,17,1891523.177,1.041335,0.146140,0.043225,0.139601,479567.822
68,46.226,11,20,1891523.176,1.041335,0.716555,0.034860,0.715706,479567.929
69,46.808,20,7,1891523.176,1.041336,0.201794,0.027218,0.199950,479568.047
70,47.617,16,20,1891523.176,1.041335,0.248113,0.026622,0.246680,479567.873
71,48.459,18,20,1891523.176,1.041335,0.164394,0.023494,0.162706,479567.975
72,49.210,13,20,1891523.176,1.041335,0.201713,0.020120,0.200707,479567.934
73,50.042,17,20,1891523.176,1.041335,0.156610,0.017767,0.155599,479567.909
74,50.871,17,20,1891523.176,1.041335,0.176948,0.016121,0.176213,479567.922
75,51.643,14,20,1891523.176,1.041335,0.149393,0.016573,0.148470,479567.941
76,52.430,15,20,1891523.176,1.041335,0.163461,0.015575,0.162718,479567.914
77,53.199,14,20,1891523.176,1.041335,0.140506,0.014774,0.139727,479567.928
78,53.969,14,20,1891523.176,1.041335,0.151183,0.014097,0.150525,479567.913
79,54.757,15,20,1891523.176,1.041335,0.131084,0.013773,0.130359,479567.931
80,55.527,14,20,1891523.176,1.041335,0.139545,0.013454,0.138895,479567.909
81,56.294,14,20,1891523.175,1.041335,0.122377,0.012446,0.121742,479567.929
82,57.092,15,20,1891523.175,1.041335,0.128881,0.012431,0.128280,479567.911
83,57.824,12,20,1891523.175,1.041335,0.114473,0.012563,0.113781,479567.930
84,58.617,15,20,1891523.175,1.041335,0.119225,0.011758,0.118644,479567.910
85,59.333,11,20,1891523.175,1.041335,0.107418,0.011177,0.106835,479567.929
86,60.150,16,20,1891523.175,1.041335,0.111008,0.010631,0.110498,479567.915
87,60.865,11,20,1891523.175,1.041335,0.101067,0.010523,0.100518,479567.930
88,61.669,16,20,1891523.175,1.041335,0.102271,0.009857,0.101795,479567.910
89,62.385,11,20,1891523.175,1.041335,0.096799,0.009786,0.096303,479567.931
90,63.179,15,20,1891523.175,1.041335,0.094735,0.009284,0.094279,479567.912
91,63.935,13,20,1891523.175,1.041335,0.095949,0.009067,0.095520,479567.932
92,64.731,15,20,1891523.175,1.041335,0.087511,0.008589,0.087089,479567.913
93,65.486,13,20,1891523.175,1.041335,0.109698,0.008429,0.109374,479567.938
94,66.278,15,20,1891523.175,1.041335,0.079972,0.007963,0.079575,479567.916
95,67.069,14,20,1891523.175,1.041335,0.343083,0.010255,0.342930,479567.836
96,67.455,16,2,1891523.175,1.041335,0.074615,0.007270,0.074260,479567.982
97,68.134,9,20,1891523.175,1.041335,0.106612,0.006597,0.106408,479567.962
98,68.927,15,20,1891523.175,1.041335,0.067517,0.006191,0.067233,479567.940
99,69.731,16,20,1891523.175,1.041335,0.075551,0.005612,0.075342,479567.920
100,70.517,15,20,1891523.175,1.041335,0.052620,0.005535,0.052328,479567.939
