iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,4528.425,0,0,131271566.751,0.997054,69726.194951,69726.194951,0.000000,41115924.356
2,9141.722,0,0,106581459.861,0.959265,60254.021773,60254.021773,0.000000,35070032.470
3,13736.619,0,0,92288104.125,0.951478,54437.159437,54437.159437,0.000000,32505304.918
4,18320.894,0,0,83853722.837,0.945535,49838.414716,49838.414716,0.000000,31603366.220
5,22893.766,0,0,77949651.030,0.941437,46028.334810,46028.334810,0.000000,31144923.000
6,27479.680,0,0,73577837.982,0.938553,42870.421347,42870.421347,0.000000,30876515.479
7,32040.361,0,0,70225470.318,0.936388,40154.515596,40154.515596,0.000000,30707442.065
8,36597.207,0,0,67586986.480,0.934698,37755.520981,37755.520981,0.000000,30595310.108
9,41117.501,0,0,65467827.381,0.933349,35597.119865,35597.119865,0.000000,30518031.216
10,45661.104,0,0,63738119.374,0.932256,33629.918076,33629.918076,0.000000,30463152.323
11,53109.928,0,0,62307817.150,0.931362,31820.161912,31820.161912,0.000000,30423273.585
12,61584.441,0,0,61112468.861,0.930625,30143.530522,30143.530522,0.000000,30393805.603
13,68146.225,0,0,60104671.817,0.930014,28581.675769,28581.675769,0.000000,30371778.557
14,72698.877,0,0,59248743.716,0.929505,27120.260381,27120.260381,0.000000,30355187.578
15,77226.126,0,0,58517286.259,0.929079,25747.801122,25747.801122,0.000000,30342628.948
16,81757.367,0,0,57888900.693,0.928723,24454.942348,24454.942348,0.000000,30333093.769
17,86303.079,0,0,57346626.412,0.928422,23233.965786,23233.965786,0.000000,30325844.995
18,90844.304,0,0,56876846.918,0.928168,22078.438783,22078.438783,0.000000,30320338.775
19,95338.037,0,0,56468506.440,0.927953,20982.950905,20982.950905,0.000000,30316170.795
20,99826.555,0,0,56112538.354,0.927771,19942.911247,19942.911247,0.000000,30313038.312
21,104345.283,0,0,55801441.170,0.927615,18954.389709,18954.389709,0.000000,30310712.924
22,108912.834,0,0,55528959.277,0.927482,18013.991209,18013.991209,0.000000,30309020.949
23,113480.622,0,0,55289839.284,0.927368,17118.755235,17118.755235,0.000000,30307829.208
24,117981.493,0,0,55079641.735,0.927271,16266.075206,16266.075206,0.000000,30307034.680
25,122511.967,0,0,54894593.972,0.927187,15453.633596,15453.633596,0.000000,30306556.935
26,127005.009,0,0,54731473.927,0.927114,14679.349661,14679.349661,0.000000,30306332.588
27,131507.537,0,0,54587517.469,0.927052,13941.337358,13941.337358,0.000000,30306311.213
28,135996.435,0,0,54460343.854,0.926999,13237.871490,13237.871490,0.000000,30306452.339
29,140507.269,0,0,54347895.255,0.926953,12567.360500,12567.360500,0.000000,30306723.239
30,145011.606,0,0,54248387.313,0.926914,11928.324635,11928.324635,0.000000,30307097.273
31,149521.759,0,0,54160268.410,0.926881,11319.378444,11319.378444,0.000000,30307552.652
32,154040.365,0,0,54082185.900,0.926853,10739.216777,10739.216777,0.000000,30308071.484
33,158536.403,0,0,54012957.929,0.926829,10186.603604,10186.603604,0.000000,30308639.030
34,163011.482,0,0,53951549.781,0.926809,9660.363111,9660.363111,0.000000,30309243.115
35,167547.741,0,0,53897053.924,0.926793,9159.372617,9159.372617,0.000000,30309873.662
36,172029.559,0,0,53848673.089,0.926779,8682.556964,8682.556964,0.000000,30310522.309
37,176539.698,0,0,53805705.856,0.926768,8228.884073,8228.884073,0.000000,30311182.106
38,181086.737,0,0,53767534.339,0.926759,7797.361428,7797.361428,0.000000,30311847.273
39,185579.540,0,0,53733613.603,0.926752,7387.033303,7387.033303,0.000000,30312512.997
40,190093.350,0,0,53703462.553,0.926746,6996.978558,6996.978558,0.000000,30313175.276
41,194605.732,0,0,53676656.066,0.926742,6626.308897,6626.308897,0.000000,30313830.781
42,199092.851,0,0,53652818.166,0.926739,6274.167464,6274.167464,0.000000,30314476.755
43,203549.890,0,0,53631616.098,0.926738,5939.727708,5939.727708,0.000000,30315110.923
44,208017.576,0,0,53612755.162,0.926737,5622.192445,5622.192445,0.000000,30315731.422
