iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,1.996,4,3,890373.502,1.400006,25703.962817,7734.964212,24512.528085,869378.568
2,4.744,6,5,424961.529,0.969550,9633.495275,1689.007307,9484.275699,402580.342
3,11.399,10,20,338781.630,0.927573,11652.798502,1131.108883,11597.771580,315168.663
4,20.176,20,20,245664.518,0.947615,9368.161163,545.267949,9352.279211,218189.704
5,28.904,20,20,215745.954,0.957407,5273.702084,369.345582,5260.752561,187251.634
6,37.684,20,20,200467.648,0.969914,4515.055805,276.772565,4506.564752,171618.379
7,46.405,20,20,191779.328,0.983672,3829.341055,221.154616,3822.949588,162845.746
8,55.211,20,20,186210.669,0.995104,3901.425427,206.327902,3895.965755,157327.862
9,64.041,20,20,182298.860,1.004808,2702.046756,173.937148,2696.442571,153621.331
10,72.905,20,20,179354.826,1.012734,2867.752028,184.044714,2861.840184,150876.660
11,81.765,20,20,177000.521,1.020094,2197.037749,150.605517,2191.869715,148799.641
12,90.700,20,20,175068.912,1.026031,2510.615892,159.567306,2505.539948,147111.370
13,99.502,20,20,173427.353,1.032212,2024.847156,147.712124,2019.452187,145737.779
14,108.318,20,20,172009.976,1.036838,1857.125361,150.800190,1850.992682,144581.628
15,115.024,10,20,170984.262,1.041022,1726.288887,132.338814,1721.208808,143794.226
16,123.913,20,20,169878.745,1.044436,1602.652736,140.797115,1596.456064,142957.629
17,130.322,9,20,169043.122,1.048854,1772.867369,135.382953,1767.690630,142330.290
18,139.080,20,20,168115.577,1.051646,1491.060743,138.255976,1484.637136,141663.514
19,145.490,9,20,167407.139,1.055808,1327.675566,136.390740,1320.651345,141148.463
20,154.274,20,20,166608.897,1.058107,1380.428530,137.579146,1373.555571,140607.155
21,160.418,8,20,166001.538,1.062073,1252.266254,134.215795,1245.052967,140178.012
22,166.462,8,20,165461.963,1.064512,1330.965180,130.999242,1324.502740,139832.571
23,175.100,20,20,164768.210,1.067699,1238.580131,137.770808,1230.893962,139381.470
24,181.176,8,20,164243.631,1.069932,1026.790873,135.940249,1017.752301,139042.192
25,187.287,8,20,163781.250,1.073169,1168.420233,134.046316,1160.705573,138753.996
26,195.836,20,20,163179.236,1.074876,1124.360811,136.063321,1116.097669,138394.520
27,201.688,7,20,162744.082,1.077484,944.504541,135.410823,934.747419,138117.225
28,207.541,7,20,162366.120,1.079713,882.332672,133.735229,872.138655,137895.727
29,214.450,12,20,161929.630,1.082354,1001.624963,135.948979,992.356006,137652.787
30,220.112,6,20,161585.518,1.083915,817.848192,130.657480,807.343972,137448.616
31,228.085,17,20,161124.908,1.085841,925.922460,131.889931,916.481013,137206.586
32,233.941,7,20,160773.944,1.087743,832.534546,132.129295,821.982736,136996.655
33,239.587,6,20,160478.111,1.090030,767.986697,130.472973,756.822548,136826.386
34,247.761,18,20,160048.658,1.091414,863.570598,132.211381,853.389904,136607.720
35,253.630,7,20,159725.005,1.093398,775.818869,129.676369,764.904541,136417.449
36,259.284,6,20,159454.295,1.095380,751.470631,128.064104,740.478018,136265.685
37,265.989,11,20,159135.641,1.097475,789.624281,129.645166,778.908619,136105.936
38,269.457,5,10,158952.750,1.097000,482.830379,123.367218,466.803711,136038.914
39,274.483,18,4,158746.853,1.094511,436.893967,111.609662,422.397469,136028.275
40,280.002,5,20,158461.670,1.101049,890.794173,125.164284,881.957006,135801.612
41,284.397,11,9,158227.414,1.098867,439.289247,124.232536,421.356524,135729.634
42,286.599,5,4,158112.578,1.098782,350.012869,106.442494,333.435157,135705.377
43,289.008,6,4,158015.193,1.098802,418.561344,111.430403,403.456149,135695.864
44,293.901,3,20,157737.742,1.106760,1040.745752,124.323478,1033.293469,135455.512
45,298.497,12,9,157465.212,1.103739,444.398644,122.023179,427.317796,135365.631
46,300.699,5,4,157351.616,1.103633,349.512175,108.720594,332.172535,135339.976
47,303.513,8,4,157246.572,1.103573,413.744946,109.388314,399.022652,135328.937
48,308.398,3,20,157034.989,1.109266,788.266789,110.189697,780.527233,135162.559
49,316.755,20,20,156655.128,1.108960,717.500995,115.987903,708.063898,134981.731
50,322.464,7,20,156418.976,1.110595,645.686271,129.642388,632.537439,134844.055
51,325.664,5,9,156281.752,1.110343,389.538437,118.393612,371.110693,134801.638
52,328.064,6,4,156177.038,1.109863,314.000886,107.671580,294.963367,134792.898
53,330.056,4,4,156106.990,1.109843,360.051374,101.982244,345.306550,134788.379
54,332.457,6,4,156024.744,1.109712,399.049482,105.277673,384.911809,134785.008
