iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,319.322,11,3,94041601.543,2.118411,2064383.738355,104225.959530,2061750.995767,82548244.439
2,781.999,15,9,58960737.576,1.406657,677598.474617,29143.085072,676971.471626,47157548.466
3,1485.572,20,20,51240626.492,1.079293,551976.814040,19940.363578,551616.520001,39674236.911
4,2179.456,20,20,46848495.489,1.011046,478022.212344,15289.736626,477777.625521,35518519.187
5,2857.272,20,20,44089251.289,0.982205,423224.941051,13215.798101,423018.549722,33148968.128
6,3547.821,20,20,42327772.717,0.972318,345279.957425,11994.084864,345071.573630,31855611.747
7,4212.553,20,20,41145816.322,0.967597,297296.955513,11263.712789,297083.504307,31106923.206
8,4715.419,20,9,40455672.436,0.967271,173794.844156,9883.147569,173513.605373,30809579.152
9,5473.418,20,20,39798501.307,0.968847,249478.517227,10098.343416,249274.054041,30440304.489
10,5994.594,20,8,39329928.858,0.969102,153081.638989,8370.068994,152852.641916,30249698.837
11,6708.843,20,20,38841785.164,0.971212,232705.587917,9788.064542,232499.643957,30004098.620
12,7248.818,20,7,38463246.100,0.971603,140849.893554,7655.260935,140641.706098,29866916.097
13,7776.532,20,7,38204611.009,0.973349,135472.292121,7630.815996,135257.208976,29819359.340
14,8015.022,9,3,38058639.374,0.973364,123655.817732,4911.495569,123558.239184,29822780.124
