iter,time,#cg,#ls,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,33.085,76,1,9444642.556,1.606293,503012.910968,165778.432630,474909.991341,9198149.685
2,117.180,196,0,4805290.906,1.086352,111628.272176,36199.539008,105595.759974,4466109.766
3,203.437,200,0,2738197.922,0.972449,35375.218036,10023.081869,33925.563826,2460634.939
4,290.415,200,0,2370439.020,1.000560,12583.961752,4923.130844,11580.970429,2057452.880
5,377.196,200,0,2229225.401,1.013238,10090.670708,3031.950055,9624.391628,1904933.099
6,463.826,200,0,2149857.234,1.018933,7460.602500,2322.623695,7089.852525,1821935.252
7,550.711,200,0,2100688.089,1.027982,5686.495914,1822.851684,5386.413234,1765659.573
8,637.764,200,0,2066346.386,1.031944,4789.178111,1538.741921,4535.250851,1729725.925
9,724.818,200,0,2041938.880,1.037076,3996.910176,1272.418392,3788.963234,1701516.614
10,811.798,200,0,2023392.199,1.039355,3436.533872,1146.789933,3239.542854,1682038.693
11,899.059,200,0,2008952.154,1.042382,2990.145890,979.918011,2825.019139,1665265.842
12,986.224,200,0,1997304.795,1.043397,2689.910748,908.277762,2531.926408,1653034.257
13,1073.354,200,0,1987728.423,1.045107,2493.921235,787.733761,2366.245686,1641904.376
14,1160.612,200,0,1979711.496,1.045340,2198.507838,746.653489,2067.835893,1633498.454
15,1246.469,200,0,1972893.001,1.046292,1942.214110,660.763429,1826.359039,1625600.451
16,1333.211,200,0,1967037.561,1.046105,1900.376216,631.015654,1792.553767,1619473.380
17,1420.684,200,0,1961938.675,1.046527,1667.066539,565.817817,1568.107472,1613596.890
18,1508.654,200,0,1957480.657,1.046136,1580.407544,544.935416,1483.486905,1608940.188
19,1598.035,200,0,1953532.045,1.046201,1516.122498,492.451828,1433.917232,1604414.885
20,1686.559,200,0,1950029.935,1.045706,1343.673748,478.197231,1255.701616,1600768.042
21,1777.064,200,0,1946879.512,1.045518,1495.158250,433.809188,1430.841634,1597173.054
22,1864.997,200,0,1944053.687,1.044948,1319.658183,426.025657,1248.999544,1594245.763
23,1953.254,200,0,1941503.416,1.044627,1164.520199,390.804039,1096.986553,1591341.382
24,2040.341,200,0,1939194.099,1.044054,1117.071949,383.169506,1049.300181,1588960.715
25,2127.254,200,0,1937087.478,1.043612,1090.918692,353.494126,1032.058862,1586578.252
26,2214.737,200,0,1935162.481,1.043029,1070.685560,347.769594,1012.632153,1584599.667
27,2302.158,200,0,1933396.723,1.042529,968.690660,323.018035,913.247472,1582610.379
28,2389.648,200,0,1931775.433,1.041975,911.279176,318.551778,853.788323,1580950.574
29,2477.367,200,0,1930278.420,1.041436,886.511217,296.511451,835.453827,1579271.839
30,2565.423,200,0,1928895.122,1.040913,825.931834,293.127898,772.165416,1577860.840
31,2653.202,200,0,1927608.825,1.040361,869.884170,273.582880,825.742621,1576426.466
32,2741.029,200,0,1926414.567,1.039871,739.733775,271.957104,687.928333,1575211.366
33,2829.290,200,0,1925299.834,1.039329,782.185542,254.239608,739.713759,1573971.048
34,2916.784,200,0,1924259.171,1.038881,711.385343,253.102944,664.836827,1572916.235
35,3005.047,200,0,1923282.726,1.038355,760.944697,237.309171,722.994598,1571831.036
36,3090.934,200,0,1922368.534,1.037954,655.033992,236.548666,610.830794,1570905.526
37,3176.194,200,0,1921507.879,1.037455,693.591415,222.468149,656.945183,1569952.753
38,3259.414,200,0,1920697.351,1.037091,626.885176,222.453465,586.088286,1569135.724
39,3343.837,200,0,1919932.610,1.036624,598.546643,209.822809,560.564423,1568286.548
40,3428.942,200,0,1919208.356,1.036300,671.375345,209.016082,638.010291,1567559.658
41,3514.087,200,0,1918523.246,1.035866,560.230013,198.837521,523.756917,1566797.781
42,3596.774,200,0,1917873.119,1.035576,621.542144,197.436325,589.350095,1566144.045
43,3682.006,200,0,1917256.675,1.035176,546.347905,188.657037,512.742192,1565458.622
44,3767.046,200,0,1916670.074,1.034916,585.478699,187.181129,554.750874,1564870.775
45,3852.104,200,0,1916112.619,1.034550,558.360635,179.308922,528.786260,1564250.671
46,3937.672,200,0,1915582.233,1.034317,531.385227,178.097288,500.651191,1563715.631
47,4022.320,200,0,1915077.585,1.033984,472.737684,170.996186,440.728059,1563154.837
48,4108.311,200,0,1914595.459,1.033773,512.430353,169.595697,483.551617,1562669.986
49,4192.228,200,0,1914136.087,1.033469,450.865945,163.313206,420.248613,1562158.794
50,4276.841,200,0,1913697.597,1.033281,441.236614,161.964936,410.435268,1561715.802
51,4361.572,200,0,1913278.978,1.033001,426.511293,155.748588,397.056999,1561251.049
52,4445.802,200,0,1912877.668,1.032830,446.631290,154.733133,418.971558,1560846.288
53,4531.106,200,0,1912494.244,1.032573,407.259289,148.949064,379.043935,1560419.894
54,4615.723,200,0,1912124.695,1.032415,531.401752,147.672487,510.471017,1560047.480
55,4700.999,200,0,1911771.472,1.032179,408.790355,143.194119,382.890321,1559656.096
56,4781.863,200,0,1911432.139,1.032039,432.603154,141.918220,408.662095,1559310.398
57,4859.077,200,0,1911107.113,1.031823,390.403383,137.353375,365.443363,1558950.967
58,4936.152,200,0,1910794.159,1.031697,399.269234,136.366099,375.260188,1558631.806
59,5013.584,200,0,1910492.963,1.031499,445.015925,131.280028,425.211392,1558300.216
60,5090.810,200,0,1910202.972,1.031382,348.181712,131.554362,322.372384,1558003.495
61,5168.436,200,0,1909924.608,1.031206,359.845685,126.501213,336.877366,1557697.249
62,5245.775,200,0,1909655.742,1.031101,336.828692,126.664009,312.105425,1557421.477
63,5322.918,200,0,1909397.163,1.030941,346.429404,121.864710,324.287411,1557136.996
64,5400.270,200,0,1909146.864,1.030847,341.046554,121.952002,318.497191,1556879.597
65,5477.386,200,0,1908905.886,1.030704,316.701611,117.667014,294.031264,1556615.751
66,5554.735,200,0,1908671.213,1.030616,406.084529,117.221989,388.797698,1556373.304
67,5631.845,200,0,1908445.656,1.030490,306.056482,113.992644,284.035644,1556126.189
68,5709.035,200,0,1908226.868,1.030415,360.170851,113.356048,341.867588,1555899.714
69,5786.152,200,0,1908015.567,1.030299,299.548018,110.639020,278.366705,1555669.187
70,5863.518,200,0,1907810.736,1.030233,293.592823,109.844984,272.269765,1555455.389
71,5940.761,200,0,1907612.402,1.030131,310.154193,106.875360,291.158515,1555238.709
72,6018.243,200,0,1907419.934,1.030073,277.984230,106.511597,256.769375,1555037.256
73,6095.635,200,0,1907233.651,1.029983,285.261495,103.524706,265.813386,1554834.118
74,6172.930,200,0,1907052.650,1.029932,275.450660,103.205740,255.385280,1554643.920
75,6250.127,200,0,1906876.917,1.029854,301.654437,100.346114,284.475054,1554452.583
76,6327.380,200,0,1906706.323,1.029810,261.749364,100.141341,241.835567,1554272.252
77,6404.860,200,0,1906540.785,1.029742,276.839899,97.387464,259.144769,1554091.436
78,6482.245,200,0,1906379.683,1.029703,270.538122,97.326483,252.425100,1553922.041
79,6560.063,200,0,1906223.448,1.029644,245.602700,94.677833,226.620375,1553750.338
80,6637.494,200,0,1906071.404,1.029612,260.051464,94.520380,242.265684,1553590.135
81,6715.169,200,0,1905923.333,1.029562,281.768455,92.021705,266.318358,1553427.753
82,6792.466,200,0,1905779.347,1.029534,238.582337,92.106617,220.086125,1553274.873
83,6869.690,200,0,1905639.342,1.029494,252.893630,89.615314,236.483157,1553120.964
84,6946.950,200,0,1905502.990,1.029470,246.102734,89.665450,229.186960,1552976.278
85,7024.355,200,0,1905370.208,1.029435,249.868676,87.346200,234.104671,1552830.569
86,7102.166,200,0,1905240.980,1.029416,224.412844,87.451216,206.672227,1552693.118
87,7180.379,200,0,1905115.197,1.029388,230.755099,85.053948,214.508139,1552553.310
88,7258.143,200,0,1904992.130,1.029373,267.145541,84.919634,253.289154,1552423.618
89,7335.609,200,0,1904872.507,1.029348,210.769855,83.487021,193.529969,1552290.955
90,7413.375,200,0,1904755.836,1.029338,239.343343,82.935778,224.514794,1552167.199
91,7491.569,200,0,1904642.211,1.029318,208.040447,81.557204,191.387695,1552040.891
92,7569.777,200,0,1904531.269,1.029311,236.692744,80.932637,222.426085,1551922.593
93,7648.065,200,0,1904423.169,1.029295,201.730628,79.594799,185.364275,1551802.843
94,7727.308,200,0,1904317.586,1.029290,219.951135,79.097546,205.236644,1551690.187
95,7806.541,200,0,1904213.790,1.029278,261.811840,77.135157,250.191141,1551574.989
96,7885.710,200,0,1904112.886,1.029276,202.891163,77.439878,187.531035,1551467.956
97,7964.706,200,0,1904014.597,1.029265,216.742464,75.500545,203.167328,1551357.222
98,8044.314,200,0,1903918.595,1.029267,202.077050,75.444999,187.465160,1551255.922
99,8123.404,200,0,1903824.907,1.029257,212.174397,73.849165,198.907706,1551149.744
100,8202.456,200,0,1903733.264,1.029260,195.999446,73.605823,181.653422,1551053.125
