iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,45.290,47,175,312637.462,1.055567,1613.402940,1325.973683,919.164208,269279.224
2,124.668,156,200,233220.196,1.054034,583.298524,397.452767,426.929111,189796.399
3,214.335,200,200,210890.909,1.064707,415.658711,269.192601,316.713605,169938.374
4,296.706,200,200,199217.411,1.076501,364.694396,232.572536,280.912830,160301.948
5,378.407,195,200,191778.177,1.088975,314.242572,214.423743,229.719072,154484.854
6,457.945,185,200,186532.540,1.101360,292.082374,203.347742,209.670716,150560.388
7,535.640,179,200,182574.924,1.113064,273.753129,195.225594,191.905558,147701.627
8,611.426,168,200,179450.332,1.123751,265.026307,188.391922,186.406619,145506.776
9,685.710,162,200,176902.583,1.133531,250.125372,182.938872,170.575704,143758.739
10,759.414,158,200,174771.748,1.142689,263.643077,178.186796,194.311960,142325.339
11,832.877,158,200,172954.487,1.151370,232.939211,174.219496,154.622907,141122.111
12,905.150,152,200,171380.029,1.159553,227.749644,170.695209,150.774819,140094.749
13,975.186,143,200,169999.418,1.167273,222.687493,167.311809,146.957401,139206.486
14,1046.040,145,200,168776.829,1.174605,212.571577,164.163573,135.044425,138430.297
15,1116.727,144,200,167684.805,1.181616,207.886114,161.330143,131.107671,137745.640
16,1186.724,139,200,166701.463,1.188339,205.737266,158.783714,130.826431,137136.390
17,1256.795,141,200,165809.075,1.194800,203.599697,156.438029,130.307252,136589.535
18,1326.699,140,200,164994.373,1.200965,198.607414,154.276508,125.074634,136095.435
19,1395.706,137,200,164246.243,1.206832,193.038899,152.184369,118.759987,135646.324
20,1463.611,139,200,163556.161,1.212364,188.342167,150.229159,113.595649,135235.925
21,1530.761,135,200,162916.922,1.217555,184.970558,148.177769,110.713396,134859.616
22,1598.500,138,200,162323.006,1.222430,179.821409,146.490200,104.289790,134513.143
23,1666.036,138,200,161768.756,1.226999,177.128120,144.614925,102.278514,134193.295
24,1733.675,138,200,161250.697,1.231264,174.903226,143.161839,100.477990,133897.487
25,1801.699,142,200,160764.191,1.235269,170.639702,141.398767,95.521183,133623.185
26,1876.182,140,200,160307.101,1.239000,168.325456,139.977103,93.487271,133368.285
27,1942.358,133,200,159875.717,1.242495,166.761017,138.477205,92.915556,133130.896
28,2009.663,137,200,159467.797,1.245791,163.156990,137.163337,88.353961,132909.014
29,2076.947,137,200,159080.796,1.248893,160.292391,135.915796,84.973801,132701.218
30,2144.040,136,200,158712.837,1.251801,159.779989,134.508645,86.238443,132506.103
31,2211.393,137,200,158362.508,1.254536,155.770416,133.478896,80.298236,132322.406
32,2278.669,137,200,158027.599,1.257120,153.670379,132.231977,78.289781,132148.912
33,2346.485,138,200,157707.252,1.259563,151.100207,131.241672,74.879211,131984.689
34,2413.556,135,200,157399.923,1.261866,150.222032,130.119665,75.070177,131829.041
35,2481.009,138,200,157104.756,1.264063,147.825527,129.342145,71.575107,131680.986
36,2548.454,137,200,156820.384,1.266145,145.989599,128.435065,69.407472,131540.076
37,2616.308,137,200,156546.217,1.268131,145.228675,127.391982,69.732711,131405.639
38,2683.843,137,200,156281.888,1.270023,143.470079,126.622294,67.457084,131277.279
39,2751.105,136,200,156026.259,1.271831,143.005421,125.794017,68.017761,131154.510
40,2818.750,137,200,155778.901,1.273554,140.879009,125.091795,64.799213,131036.911
41,2885.988,137,200,155539.112,1.275210,138.827327,124.275317,61.876266,130924.130
42,2953.399,138,200,155306.631,1.276803,137.191689,123.614768,59.505870,130815.837
43,3019.913,133,200,155080.780,1.278331,136.958823,122.870466,60.502626,130711.843
44,3086.828,135,200,154861.285,1.279822,135.303151,122.283184,57.911705,130611.568
45,3161.232,139,200,154647.631,1.281261,133.160553,121.600319,54.268732,130515.006
46,3242.998,130,200,154439.724,1.282640,133.284046,120.991259,55.908425,130422.073
47,3316.198,132,200,154237.079,1.283987,133.171747,120.314596,57.088634,130332.322
48,3383.237,135,200,154039.557,1.285303,131.075337,119.789893,53.208323,130245.641
49,3449.316,131,200,153846.747,1.286574,130.888045,119.221382,54.017981,130161.923
50,3520.022,131,200,153658.535,1.287794,129.608983,118.535612,52.419436,130081.028
51,3585.870,131,200,153474.847,1.288977,128.028328,117.992924,49.688255,130002.849
52,3651.536,129,200,153295.335,1.290117,127.833058,117.510275,50.325204,129927.199
53,3718.411,131,200,153119.752,1.291211,127.523726,116.920990,50.909555,129854.011
54,3784.679,131,200,152948.118,1.292264,126.322402,116.336217,49.226354,129783.212
55,3850.265,129,200,152780.308,1.293264,126.201959,115.916754,49.902311,129714.675
56,3915.824,127,200,152615.921,1.294220,124.617704,115.358887,47.137027,129648.321
57,3981.901,130,200,152455.014,1.295126,124.387540,114.810509,47.862378,129584.001
58,4047.159,127,200,152297.482,1.295985,122.933736,114.329633,45.182281,129521.772
59,4113.081,129,200,152143.067,1.296801,121.248462,113.865067,41.664567,129461.359
60,4178.552,128,200,151991.695,1.297567,121.141331,113.363008,42.708905,129402.830
61,4243.749,127,200,151843.282,1.298287,121.341419,112.855508,44.579977,129346.051
62,4309.198,127,200,151697.704,1.298965,119.640491,112.406952,40.969796,129290.924
63,4374.289,126,200,151554.813,1.299601,119.456853,111.924779,41.746660,129237.346
64,4440.545,127,200,151414.536,1.300196,118.294005,111.444062,39.669794,129185.255
65,4506.709,127,200,151276.783,1.300756,117.380825,111.006653,38.154697,129134.574
66,4572.307,125,200,151141.428,1.301281,117.124496,110.609562,38.518469,129085.234
67,4638.609,127,200,151008.319,1.301773,116.843147,110.141096,39.003334,129037.115
68,4704.899,126,200,150877.478,1.302234,115.662912,109.758796,36.481718,128990.231
69,4770.950,127,200,150748.706,1.302668,115.379057,109.321315,36.894130,128944.466
70,4836.832,126,200,150622.028,1.303076,114.434660,108.931126,35.061393,128899.776
71,4900.845,122,200,150497.316,1.303457,114.140193,108.521547,35.370290,128856.146
72,4966.166,127,200,150374.489,1.303817,113.665482,108.122159,35.063376,128813.403
73,5030.884,125,200,150253.525,1.304159,113.316204,107.780379,34.985024,128771.610
74,5095.392,126,200,150134.267,1.304482,112.766507,107.417000,34.320158,128730.664
75,5159.395,124,200,150016.720,1.304787,112.530357,106.985443,34.888340,128690.568
76,5224.259,127,200,149900.879,1.305077,111.854208,106.629646,33.785833,128651.184
77,5287.622,122,200,149786.652,1.305354,111.752970,106.274122,34.562078,128612.610
78,5351.191,122,200,149673.953,1.305621,110.773968,105.937408,32.374954,128574.702
79,5418.088,129,200,149562.719,1.305873,110.942958,105.606481,33.994278,128537.401
80,5482.228,123,200,149452.973,1.306125,110.472344,105.246210,33.576391,128500.825
81,5544.910,118,200,149344.710,1.306366,109.990581,104.906765,33.052964,128464.907
82,5608.866,123,200,149237.781,1.306606,109.163214,104.564249,31.351638,128429.492
83,5672.822,124,200,149132.218,1.306836,108.623333,104.210684,30.645746,128394.653
