iter,tr_rmse,va_rmse,obj,time
132,0.7967,0.9270,5.3717e+07,272.07
133,0.7966,0.9270,5.3715e+07,274.08
134,0.7965,0.9270,5.3713e+07,276.10
135,0.7965,0.9270,5.3711e+07,278.09
136,0.7964,0.9270,5.3710e+07,280.12
137,0.7963,0.9270,5.3709e+07,282.16
138,0.7963,0.9269,5.3707e+07,284.21
139,0.7962,0.9270,5.3706e+07,286.20
140,0.7961,0.9269,5.3703e+07,288.24
141,0.7960,0.9270,5.3702e+07,290.24
142,0.7960,0.9269,5.3701e+07,292.26
143,0.7959,0.9270,5.3699e+07,294.81
144,0.7959,0.9269,5.3698e+07,297.36
145,0.7958,0.9270,5.3696e+07,299.90
146,0.7957,0.9270,5.3696e+07,302.44
147,0.7957,0.9269,5.3693e+07,304.98
148,0.7956,0.9269,5.3692e+07,307.53
149,0.7955,0.9269,5.3691e+07,310.06
150,0.7954,0.9269,5.3690e+07,312.60
151,0.7954,0.9269,5.3689e+07,314.85
152,0.7953,0.9269,5.3686e+07,317.10
153,0.7952,0.9269,5.3686e+07,319.35
154,0.7952,0.9269,5.3684e+07,321.60
155,0.7951,0.9269,5.3682e+07,323.86
156,0.7951,0.9269,5.3680e+07,326.11
157,0.7950,0.9269,5.3680e+07,328.36
158,0.7949,0.9269,5.3678e+07,330.60
159,0.7949,0.9269,5.3677e+07,332.84
160,0.7948,0.9269,5.3676e+07,335.10
161,0.7947,0.9269,5.3675e+07,337.35
162,0.7947,0.9269,5.3675e+07,339.59
163,0.7946,0.9269,5.3672e+07,341.84
164,0.7946,0.9269,5.3670e+07,343.96
165,0.7945,0.9269,5.3669e+07,345.97
166,0.7944,0.9269,5.3669e+07,347.99
167,0.7944,0.9269,5.3667e+07,349.99
168,0.7943,0.9269,5.3666e+07,352.00
169,0.7943,0.9269,5.3665e+07,354.02
170,0.7942,0.9268,5.3663e+07,356.03
171,0.7942,0.9268,5.3662e+07,358.05
172,0.7941,0.9269,5.3662e+07,360.05
173,0.7940,0.9268,5.3660e+07,362.07
174,0.7940,0.9269,5.3659e+07,364.09
175,0.7939,0.9268,5.3657e+07,366.10
176,0.7939,0.9268,5.3657e+07,368.12
177,0.7938,0.9268,5.3655e+07,370.12
178,0.7938,0.9268,5.3654e+07,372.14
179,0.7937,0.9268,5.3653e+07,374.15
180,0.7937,0.9268,5.3651e+07,376.15
181,0.7936,0.9268,5.3650e+07,378.15
182,0.7935,0.9268,5.3649e+07,380.16
183,0.7935,0.9268,5.3648e+07,382.17
184,0.7934,0.9268,5.3647e+07,384.17
185,0.7934,0.9267,5.3645e+07,386.20
186,0.7933,0.9268,5.3645e+07,388.19
187,0.7933,0.9267,5.3643e+07,390.18
188,0.7932,0.9268,5.3642e+07,392.18
189,0.7932,0.9267,5.3641e+07,394.18
190,0.7931,0.9268,5.3640e+07,396.18
191,0.7931,0.9268,5.3640e+07,398.17
192,0.7930,0.9268,5.3638e+07,400.17
193,0.7930,0.9267,5.3637e+07,402.17
194,0.7929,0.9267,5.3636e+07,404.17
195,0.7929,0.9267,5.3635e+07,406.17
196,0.7928,0.9268,5.3634e+07,408.18
197,0.7928,0.9267,5.3633e+07,410.18
198,0.7927,0.9267,5.3633e+07,412.18
199,0.7927,0.9267,5.3631e+07,414.19
200,0.7926,0.9267,5.3631e+07,416.19
201,0.7926,0.9267,5.3629e+07,418.19
202,0.7925,0.9267,5.3628e+07,420.24
203,0.7925,0.9267,5.3627e+07,422.24
204,0.7924,0.9267,5.3625e+07,424.26
205,0.7924,0.9267,5.3625e+07,426.26
206,0.7923,0.9267,5.3625e+07,428.30
207,0.7923,0.9266,5.3623e+07,430.30
208,0.7923,0.9267,5.3622e+07,432.31
209,0.7922,0.9267,5.3621e+07,434.33
210,0.7922,0.9267,5.3620e+07,436.33
211,0.7921,0.9267,5.3620e+07,438.34
212,0.7921,0.9266,5.3618e+07,440.34
213,0.7920,0.9267,5.3618e+07,442.34
214,0.7919,0.9267,5.3617e+07,444.33
215,0.7919,0.9266,5.3615e+07,446.34
216,0.7919,0.9266,5.3615e+07,448.62
217,0.7918,0.9266,5.3614e+07,450.89
218,0.7918,0.9266,5.3613e+07,452.92
219,0.7918,0.9266,5.3611e+07,454.93
220,0.7917,0.9266,5.3612e+07,456.93
221,0.7916,0.9266,5.3611e+07,458.93
222,0.7916,0.9266,5.3609e+07,460.94
223,0.7916,0.9266,5.3609e+07,462.95
224,0.7915,0.9266,5.3608e+07,464.95
225,0.7915,0.9266,5.3607e+07,466.98
226,0.7914,0.9266,5.3606e+07,468.99
227,0.7914,0.9266,5.3605e+07,471.00
228,0.7914,0.9266,5.3604e+07,473.04
229,0.7913,0.9266,5.3604e+07,475.06
230,0.7913,0.9266,5.3603e+07,477.11
231,0.7913,0.9266,5.3602e+07,479.84
232,0.7912,0.9266,5.3601e+07,482.57
233,0.7912,0.9266,5.3600e+07,485.06
234,0.7911,0.9266,5.3601e+07,487.08
235,0.7911,0.9266,5.3599e+07,489.09
236,0.7910,0.9266,5.3598e+07,491.10
237,0.7910,0.9266,5.3598e+07,493.10
238,0.7910,0.9265,5.3596e+07,495.11
239,0.7909,0.9265,5.3596e+07,497.86
240,0.7909,0.9265,5.3596e+07,500.60
241,0.7908,0.9266,5.3595e+07,503.35
242,0.7908,0.9266,5.3594e+07,506.10
243,0.7908,0.9265,5.3594e+07,508.85
244,0.7907,0.9265,5.3592e+07,511.60
245,0.7907,0.9265,5.3591e+07,514.35
246,0.7907,0.9265,5.3591e+07,516.39
247,0.7906,0.9265,5.3590e+07,518.39
248,0.7906,0.9265,5.3589e+07,520.40
249,0.7906,0.9265,5.3590e+07,522.40
250,0.7905,0.9265,5.3589e+07,524.41
251,0.7905,0.9265,5.3588e+07,526.43
252,0.7904,0.9265,5.3587e+07,528.44
253,0.7904,0.9265,5.3586e+07,530.45
254,0.7904,0.9265,5.3586e+07,532.47
255,0.7903,0.9265,5.3585e+07,534.49
256,0.7903,0.9265,5.3585e+07,536.51
257,0.7903,0.9265,5.3584e+07,538.53
258,0.7903,0.9265,5.3582e+07,540.55
259,0.7902,0.9265,5.3583e+07,542.55
260,0.7902,0.9265,5.3582e+07,544.82
261,0.7901,0.9265,5.3582e+07,547.08
262,0.7901,0.9265,5.3581e+07,549.34
263,0.7901,0.9265,5.3579e+07,552.09
264,0.7901,0.9265,5.3579e+07,554.31
265,0.7900,0.9265,5.3578e+07,556.54
266,0.7900,0.9264,5.3577e+07,558.76
267,0.7900,0.9265,5.3577e+07,560.99
268,0.7899,0.9265,5.3577e+07,563.22
269,0.7899,0.9264,5.3576e+07,565.45
270,0.7899,0.9265,5.3575e+07,567.67
271,0.7898,0.9264,5.3575e+07,569.71
272,0.7898,0.9265,5.3574e+07,571.72
273,0.7898,0.9265,5.3574e+07,573.73
274,0.7897,0.9264,5.3573e+07,575.75
275,0.7897,0.9265,5.3573e+07,577.78
276,0.7897,0.9265,5.3572e+07,579.79
277,0.7896,0.9265,5.3572e+07,581.86
278,0.7896,0.9265,5.3571e+07,583.87
279,0.7896,0.9264,5.3571e+07,585.89
280,0.7895,0.9265,5.3570e+07,587.90
281,0.7895,0.9265,5.3569e+07,589.91
282,0.7895,0.9264,5.3569e+07,591.95
283,0.7895,0.9265,5.3569e+07,593.96
284,0.7894,0.9264,5.3568e+07,595.97
285,0.7894,0.9264,5.3567e+07,597.98
286,0.7894,0.9265,5.3567e+07,600.72
287,0.7893,0.9264,5.3566e+07,603.48
288,0.7893,0.9264,5.3565e+07,605.73
289,0.7893,0.9264,5.3565e+07,607.95
290,0.7893,0.9264,5.3564e+07,610.16
291,0.7892,0.9264,5.3564e+07,612.38
292,0.7892,0.9264,5.3564e+07,614.60
293,0.7892,0.9264,5.3563e+07,616.81
294,0.7892,0.9264,5.3562e+07,619.03
295,0.7891,0.9264,5.3562e+07,621.25
296,0.7891,0.9264,5.3562e+07,623.47
297,0.7891,0.9264,5.3561e+07,625.69
298,0.7891,0.9264,5.3560e+07,627.90
299,0.7890,0.9264,5.3561e+07,630.13
300,0.7890,0.9264,5.3559e+07,632.35
301,0.7890,0.9264,5.3559e+07,634.57
302,0.7889,0.9264,5.3559e+07,636.79
303,0.7889,0.9264,5.3558e+07,639.01
304,0.7889,0.9264,5.3558e+07,641.23
305,0.7889,0.9264,5.3557e+07,643.44
306,0.7888,0.9264,5.3557e+07,645.67
307,0.7888,0.9264,5.3556e+07,647.88
308,0.7888,0.9264,5.3555e+07,650.11
309,0.7888,0.9264,5.3555e+07,652.33
310,0.7887,0.9264,5.3555e+07,654.60
311,0.7887,0.9264,5.3554e+07,656.78
312,0.7887,0.9264,5.3554e+07,658.98
313,0.7887,0.9264,5.3554e+07,661.16
314,0.7886,0.9264,5.3554e+07,663.35
315,0.7886,0.9264,5.3553e+07,665.55
316,0.7886,0.9264,5.3552e+07,667.75
317,0.7886,0.9264,5.3552e+07,669.96
318,0.7885,0.9264,5.3552e+07,672.16
319,0.7885,0.9264,5.3551e+07,674.37
320,0.7885,0.9264,5.3551e+07,676.58
321,0.7885,0.9264,5.3551e+07,678.78
322,0.7885,0.9264,5.3550e+07,680.97
323,0.7884,0.9264,5.3550e+07,683.16
324,0.7884,0.9264,5.3549e+07,685.35
325,0.7884,0.9264,5.3549e+07,687.56
326,0.7884,0.9264,5.3549e+07,689.76
327,0.7884,0.9263,5.3548e+07,691.96
328,0.7883,0.9264,5.3548e+07,694.16
329,0.7883,0.9264,5.3548e+07,696.36
330,0.7883,0.9264,5.3547e+07,698.56
331,0.7883,0.9264,5.3546e+07,700.76
332,0.7882,0.9264,5.3546e+07,702.96
333,0.7883,0.9264,5.3545e+07,705.16
334,0.7882,0.9264,5.3546e+07,707.36
335,0.7882,0.9264,5.3545e+07,709.56
336,0.7882,0.9264,5.3545e+07,711.77
337,0.7881,0.9264,5.3544e+07,713.98
338,0.7881,0.9264,5.3544e+07,716.19
339,0.7881,0.9264,5.3544e+07,718.40
340,0.7881,0.9264,5.3544e+07,720.61
341,0.7881,0.9264,5.3543e+07,722.81
342,0.7881,0.9264,5.3542e+07,725.03
343,0.7880,0.9264,5.3542e+07,727.23
344,0.7880,0.9264,5.3542e+07,729.42
345,0.7880,0.9264,5.3542e+07,731.61
346,0.7880,0.9264,5.3541e+07,733.81
347,0.7880,0.9264,5.3541e+07,736.00
348,0.7879,0.9264,5.3541e+07,738.19
349,0.7879,0.9264,5.3540e+07,740.38
350,0.7879,0.9264,5.3539e+07,742.58
351,0.7879,0.9264,5.3540e+07,744.77
352,0.7879,0.9264,5.3539e+07,746.97
353,0.7878,0.9264,5.3539e+07,749.16
354,0.7878,0.9264,5.3539e+07,751.35
355,0.7878,0.9264,5.3538e+07,753.56
356,0.7878,0.9264,5.3538e+07,755.76
357,0.7878,0.9264,5.3537e+07,757.96
358,0.7878,0.9264,5.3538e+07,760.17
359,0.7877,0.9264,5.3537e+07,762.37
360,0.7877,0.9264,5.3537e+07,764.58
361,0.7877,0.9264,5.3536e+07,767.33
362,0.7877,0.9264,5.3536e+07,770.06
363,0.7877,0.9264,5.3536e+07,772.70
364,0.7876,0.9264,5.3536e+07,775.24
365,0.7876,0.9264,5.3535e+07,777.78
366,0.7876,0.9264,5.3535e+07,780.31
367,0.7876,0.9264,5.3535e+07,782.85
368,0.7876,0.9264,5.3534e+07,785.40
369,0.7876,0.9264,5.3534e+07,787.94
370,0.7876,0.9264,5.3534e+07,790.66
371,0.7875,0.9264,5.3533e+07,793.40
372,0.7875,0.9264,5.3533e+07,795.94
373,0.7875,0.9264,5.3533e+07,798.48
374,0.7875,0.9264,5.3533e+07,801.04
375,0.7875,0.9264,5.3532e+07,803.55
376,0.7874,0.9264,5.3533e+07,805.82
377,0.7874,0.9264,5.3532e+07,808.02
