iter,tr_rmse,va_rmse,obj,time
0,1.1795,1.0567,1.9362e+06,0.03
1,1.0529,1.0513,1.9018e+06,0.07
2,1.0478,1.0492,1.8988e+06,0.11
3,1.0452,1.0474,1.8978e+06,0.14
4,1.0441,1.0469,1.8964e+06,0.18
5,1.0430,1.0446,1.8957e+06,0.21
6,1.0420,1.0450,1.8956e+06,0.24
7,1.0413,1.0461,1.8950e+06,0.27
8,1.0409,1.0453,1.8948e+06,0.30
9,1.0408,1.0445,1.8944e+06,0.34
10,1.0401,1.0436,1.8942e+06,0.36
11,1.0397,1.0452,1.8941e+06,0.40
12,1.0397,1.0429,1.8939e+06,0.42
13,1.0393,1.0451,1.8938e+06,0.46
14,1.0394,1.0424,1.8936e+06,0.48
15,1.0388,1.0421,1.8936e+06,0.52
16,1.0388,1.0423,1.8933e+06,0.56
17,1.0386,1.0417,1.8933e+06,0.59
18,1.0385,1.0422,1.8932e+06,0.62
19,1.0383,1.0434,1.8931e+06,0.65
20,1.0381,1.0435,1.8931e+06,0.68
21,1.0382,1.0415,1.8930e+06,0.71
22,1.0378,1.0431,1.8929e+06,0.74
23,1.0379,1.0414,1.8929e+06,0.78
24,1.0376,1.0421,1.8928e+06,0.81
25,1.0376,1.0412,1.8928e+06,0.84
26,1.0374,1.0417,1.8928e+06,0.87
27,1.0374,1.0421,1.8926e+06,0.90
28,1.0375,1.0414,1.8926e+06,0.93
29,1.0371,1.0426,1.8926e+06,0.97
30,1.0373,1.0423,1.8925e+06,1.00
31,1.0373,1.0421,1.8926e+06,1.03
32,1.0370,1.0421,1.8925e+06,1.06
33,1.0366,1.0434,1.8925e+06,1.09
34,1.0373,1.0418,1.8924e+06,1.12
35,1.0370,1.0408,1.8924e+06,1.15
36,1.0367,1.0414,1.8923e+06,1.18
37,1.0367,1.0426,1.8924e+06,1.21
38,1.0368,1.0417,1.8924e+06,1.25
39,1.0367,1.0419,1.8922e+06,1.28
40,1.0368,1.0419,1.8922e+06,1.31
41,1.0365,1.0412,1.8923e+06,1.34
42,1.0363,1.0428,1.8923e+06,1.37
43,1.0367,1.0414,1.8922e+06,1.40
44,1.0365,1.0416,1.8922e+06,1.43
45,1.0365,1.0416,1.8922e+06,1.46
46,1.0360,1.0423,1.8921e+06,1.49
47,1.0366,1.0416,1.8921e+06,1.52
48,1.0363,1.0417,1.8922e+06,1.55
49,1.0362,1.0410,1.8923e+06,1.59
50,1.0365,1.0399,1.8921e+06,1.62
51,1.0359,1.0417,1.8921e+06,1.65
52,1.0362,1.0420,1.8921e+06,1.68
53,1.0360,1.0413,1.8921e+06,1.71
54,1.0358,1.0428,1.8921e+06,1.74
55,1.0361,1.0425,1.8921e+06,1.78
56,1.0362,1.0404,1.8920e+06,1.81
57,1.0358,1.0426,1.8920e+06,1.84
58,1.0362,1.0408,1.8920e+06,1.87
59,1.0358,1.0411,1.8921e+06,1.90
60,1.0359,1.0415,1.8920e+06,1.93
61,1.0359,1.0413,1.8920e+06,1.97
62,1.0362,1.0400,1.8920e+06,2.00
63,1.0356,1.0413,1.8920e+06,2.03
64,1.0356,1.0413,1.8920e+06,2.06
65,1.0359,1.0412,1.8920e+06,2.10
66,1.0356,1.0412,1.8920e+06,2.13
67,1.0358,1.0402,1.8920e+06,2.16
68,1.0353,1.0417,1.8920e+06,2.18
69,1.0360,1.0411,1.8919e+06,2.21
70,1.0354,1.0417,1.8920e+06,2.24
71,1.0356,1.0422,1.8920e+06,2.26
72,1.0359,1.0417,1.8919e+06,2.29
73,1.0354,1.0413,1.8919e+06,2.32
74,1.0355,1.0419,1.8919e+06,2.34
75,1.0356,1.0421,1.8919e+06,2.37
76,1.0354,1.0414,1.8919e+06,2.40
77,1.0356,1.0415,1.8919e+06,2.43
78,1.0354,1.0418,1.8919e+06,2.45
79,1.0354,1.0416,1.8919e+06,2.48
80,1.0354,1.0415,1.8919e+06,2.52
81,1.0354,1.0414,1.8919e+06,2.55
82,1.0353,1.0413,1.8919e+06,2.58
83,1.0354,1.0412,1.8918e+06,2.62
84,1.0354,1.0413,1.8918e+06,2.65
85,1.0354,1.0413,1.8919e+06,2.68
86,1.0355,1.0412,1.8918e+06,2.71
87,1.0351,1.0415,1.8918e+06,2.74
88,1.0351,1.0424,1.8919e+06,2.76
89,1.0357,1.0408,1.8918e+06,2.79
90,1.0351,1.0416,1.8918e+06,2.82
91,1.0353,1.0412,1.8918e+06,2.85
92,1.0351,1.0415,1.8918e+06,2.87
93,1.0353,1.0408,1.8918e+06,2.90
94,1.0352,1.0415,1.8918e+06,2.93
95,1.0353,1.0410,1.8918e+06,2.95
96,1.0351,1.0417,1.8918e+06,2.98
97,1.0352,1.0406,1.8918e+06,3.01
98,1.0351,1.0407,1.8918e+06,3.04
99,1.0348,1.0415,1.8918e+06,3.06
100,1.0353,1.0414,1.8918e+06,3.09
101,1.0350,1.0414,1.8918e+06,3.12
102,1.0354,1.0408,1.8918e+06,3.14
103,1.0349,1.0413,1.8918e+06,3.17
104,1.0353,1.0408,1.8918e+06,3.20
105,1.0349,1.0413,1.8918e+06,3.22
106,1.0348,1.0419,1.8918e+06,3.25
107,1.0352,1.0416,1.8918e+06,3.28
108,1.0352,1.0410,1.8918e+06,3.31
109,1.0350,1.0407,1.8918e+06,3.34
110,1.0348,1.0413,1.8918e+06,3.37
111,1.0352,1.0407,1.8918e+06,3.39
112,1.0349,1.0411,1.8918e+06,3.42
113,1.0348,1.0413,1.8918e+06,3.45
114,1.0351,1.0414,1.8917e+06,3.47
115,1.0348,1.0420,1.8918e+06,3.50
116,1.0352,1.0409,1.8918e+06,3.53
117,1.0345,1.0417,1.8917e+06,3.56
118,1.0352,1.0407,1.8918e+06,3.58
119,1.0348,1.0410,1.8917e+06,3.61
120,1.0349,1.0405,1.8917e+06,3.64
121,1.0347,1.0409,1.8917e+06,3.66
122,1.0347,1.0416,1.8917e+06,3.69
123,1.0350,1.0410,1.8917e+06,3.72
124,1.0348,1.0414,1.8917e+06,3.74
125,1.0350,1.0405,1.8917e+06,3.77
126,1.0348,1.0408,1.8917e+06,3.80
127,1.0348,1.0405,1.8917e+06,3.82
128,1.0346,1.0409,1.8917e+06,3.85
129,1.0348,1.0405,1.8917e+06,3.88
130,1.0346,1.0415,1.8917e+06,3.91
131,1.0349,1.0410,1.8917e+06,3.93
132,1.0348,1.0408,1.8917e+06,3.96
133,1.0347,1.0411,1.8917e+06,3.99
134,1.0346,1.0415,1.8917e+06,4.02
135,1.0350,1.0411,1.8917e+06,4.05
136,1.0345,1.0412,1.8917e+06,4.08
