iter,tr_rmse,va_rmse,obj,time
132,1.0349,1.0410,1.8918e+06,7.54
133,1.0348,1.0409,1.8917e+06,7.60
134,1.0348,1.0412,1.8917e+06,7.65
135,1.0348,1.0411,1.8917e+06,7.72
136,1.0348,1.0409,1.8917e+06,7.78
137,1.0347,1.0413,1.8917e+06,7.84
138,1.0346,1.0408,1.8918e+06,7.89
139,1.0347,1.0410,1.8917e+06,7.95
140,1.0345,1.0412,1.8918e+06,8.02
141,1.0347,1.0410,1.8917e+06,8.07
142,1.0344,1.0414,1.8918e+06,8.13
143,1.0345,1.0412,1.8918e+06,8.21
144,1.0349,1.0405,1.8917e+06,8.26
145,1.0345,1.0409,1.8917e+06,8.31
146,1.0348,1.0408,1.8917e+06,8.38
147,1.0345,1.0408,1.8917e+06,8.44
148,1.0347,1.0410,1.8917e+06,8.49
149,1.0346,1.0406,1.8917e+06,8.55
150,1.0344,1.0413,1.8917e+06,8.61
151,1.0346,1.0411,1.8917e+06,8.66
152,1.0347,1.0405,1.8917e+06,8.72
153,1.0345,1.0411,1.8917e+06,8.78
154,1.0347,1.0406,1.8917e+06,8.83
155,1.0345,1.0410,1.8917e+06,8.89
156,1.0344,1.0412,1.8917e+06,8.94
157,1.0345,1.0412,1.8917e+06,9.00
158,1.0346,1.0410,1.8917e+06,9.06
159,1.0347,1.0416,1.8917e+06,9.13
160,1.0344,1.0408,1.8917e+06,9.19
161,1.0343,1.0417,1.8917e+06,9.27
162,1.0348,1.0409,1.8917e+06,9.33
163,1.0345,1.0406,1.8917e+06,9.39
164,1.0342,1.0412,1.8917e+06,9.45
165,1.0346,1.0410,1.8917e+06,9.52
166,1.0345,1.0414,1.8917e+06,9.58
167,1.0345,1.0407,1.8917e+06,9.64
168,1.0341,1.0416,1.8917e+06,9.71
169,1.0345,1.0414,1.8917e+06,9.79
170,1.0344,1.0411,1.8917e+06,9.85
171,1.0347,1.0406,1.8917e+06,9.92
172,1.0343,1.0412,1.8917e+06,9.98
173,1.0345,1.0409,1.8917e+06,10.03
174,1.0343,1.0411,1.8917e+06,10.09
175,1.0346,1.0407,1.8917e+06,10.16
176,1.0344,1.0410,1.8917e+06,10.24
177,1.0345,1.0408,1.8917e+06,10.31
178,1.0340,1.0415,1.8916e+06,10.37
179,1.0346,1.0404,1.8917e+06,10.43
180,1.0343,1.0413,1.8917e+06,10.48
181,1.0347,1.0408,1.8916e+06,10.55
182,1.0345,1.0406,1.8916e+06,10.60
183,1.0341,1.0406,1.8917e+06,10.68
184,1.0343,1.0414,1.8917e+06,10.77
185,1.0343,1.0409,1.8917e+06,10.83
186,1.0344,1.0409,1.8917e+06,10.88
187,1.0344,1.0409,1.8916e+06,10.95
188,1.0344,1.0409,1.8917e+06,11.00
189,1.0346,1.0406,1.8916e+06,11.06
190,1.0342,1.0411,1.8917e+06,11.12
191,1.0344,1.0408,1.8916e+06,11.17
192,1.0342,1.0408,1.8916e+06,11.22
193,1.0344,1.0408,1.8916e+06,11.28
194,1.0343,1.0408,1.8917e+06,11.34
195,1.0342,1.0410,1.8917e+06,11.41
196,1.0342,1.0407,1.8916e+06,11.48
197,1.0343,1.0411,1.8917e+06,11.54
198,1.0344,1.0410,1.8917e+06,11.60
199,1.0342,1.0405,1.8917e+06,11.67
200,1.0340,1.0405,1.8917e+06,11.73
201,1.0341,1.0410,1.8917e+06,11.81
202,1.0342,1.0405,1.8917e+06,11.89
203,1.0343,1.0408,1.8916e+06,11.95
204,1.0341,1.0413,1.8916e+06,12.01
205,1.0345,1.0409,1.8917e+06,12.06
206,1.0344,1.0407,1.8916e+06,12.12
207,1.0342,1.0411,1.8917e+06,12.20
208,1.0341,1.0411,1.8917e+06,12.26
209,1.0344,1.0408,1.8916e+06,12.31
210,1.0343,1.0404,1.8916e+06,12.39
211,1.0337,1.0413,1.8917e+06,12.46
212,1.0344,1.0415,1.8917e+06,12.52
213,1.0344,1.0405,1.8917e+06,12.59
214,1.0340,1.0408,1.8916e+06,12.65
215,1.0340,1.0412,1.8916e+06,12.73
216,1.0343,1.0413,1.8916e+06,12.78
217,1.0341,1.0407,1.8917e+06,12.86
218,1.0342,1.0408,1.8916e+06,12.92
219,1.0341,1.0409,1.8916e+06,12.99
220,1.0342,1.0414,1.8917e+06,13.07
221,1.0342,1.0405,1.8916e+06,13.14
222,1.0339,1.0410,1.8917e+06,13.21
223,1.0342,1.0411,1.8916e+06,13.29
224,1.0341,1.0414,1.8916e+06,13.36
225,1.0343,1.0409,1.8916e+06,13.43
226,1.0343,1.0405,1.8916e+06,13.49
227,1.0340,1.0410,1.8917e+06,13.55
228,1.0343,1.0409,1.8916e+06,13.61
229,1.0340,1.0410,1.8916e+06,13.66
230,1.0344,1.0406,1.8916e+06,13.72
231,1.0342,1.0406,1.8916e+06,13.78
232,1.0340,1.0406,1.8916e+06,13.85
233,1.0341,1.0406,1.8916e+06,13.92
234,1.0340,1.0409,1.8917e+06,13.99
235,1.0340,1.0411,1.8916e+06,14.06
236,1.0343,1.0405,1.8916e+06,14.13
237,1.0338,1.0407,1.8917e+06,14.20
238,1.0340,1.0407,1.8917e+06,14.26
239,1.0341,1.0410,1.8916e+06,14.32
240,1.0342,1.0409,1.8916e+06,14.39
241,1.0340,1.0410,1.8916e+06,14.45
242,1.0340,1.0409,1.8917e+06,14.51
243,1.0341,1.0411,1.8916e+06,14.57
244,1.0340,1.0412,1.8916e+06,14.64
245,1.0345,1.0409,1.8916e+06,14.70
246,1.0342,1.0406,1.8916e+06,14.78
247,1.0338,1.0409,1.8916e+06,14.84
248,1.0341,1.0403,1.8917e+06,14.91
249,1.0339,1.0412,1.8916e+06,14.98
250,1.0341,1.0408,1.8916e+06,15.05
251,1.0338,1.0406,1.8917e+06,15.12
252,1.0339,1.0411,1.8916e+06,15.18
253,1.0341,1.0409,1.8916e+06,15.25
254,1.0342,1.0409,1.8916e+06,15.31
255,1.0340,1.0404,1.8916e+06,15.38
256,1.0340,1.0409,1.8916e+06,15.44
257,1.0341,1.0407,1.8917e+06,15.51
258,1.0340,1.0407,1.8916e+06,15.56
259,1.0339,1.0409,1.8916e+06,15.63
260,1.0338,1.0413,1.8916e+06,15.70
261,1.0342,1.0411,1.8916e+06,15.76
262,1.0340,1.0409,1.8916e+06,15.85
263,1.0343,1.0402,1.8916e+06,15.91
264,1.0337,1.0411,1.8916e+06,15.96
265,1.0341,1.0409,1.8916e+06,16.03
266,1.0337,1.0408,1.8917e+06,16.10
267,1.0340,1.0409,1.8916e+06,16.17
268,1.0342,1.0408,1.8916e+06,16.23
269,1.0341,1.0405,1.8916e+06,16.29
270,1.0339,1.0408,1.8916e+06,16.35
271,1.0339,1.0409,1.8916e+06,16.41
272,1.0339,1.0411,1.8916e+06,16.47
273,1.0340,1.0409,1.8916e+06,16.53
274,1.0341,1.0407,1.8916e+06,16.59
275,1.0339,1.0407,1.8917e+06,16.67
276,1.0339,1.0406,1.8916e+06,16.72
277,1.0339,1.0410,1.8916e+06,16.78
278,1.0340,1.0406,1.8916e+06,16.84
279,1.0341,1.0405,1.8916e+06,16.90
280,1.0340,1.0403,1.8916e+06,16.97
281,1.0338,1.0408,1.8916e+06,17.03
282,1.0338,1.0410,1.8916e+06,17.09
283,1.0339,1.0411,1.8916e+06,17.15
284,1.0342,1.0410,1.8916e+06,17.20
285,1.0340,1.0411,1.8917e+06,17.28
286,1.0339,1.0411,1.8916e+06,17.34
287,1.0339,1.0411,1.8916e+06,17.41
288,1.0342,1.0411,1.8916e+06,17.47
289,1.0338,1.0405,1.8916e+06,17.55
290,1.0338,1.0407,1.8916e+06,17.62
291,1.0341,1.0406,1.8916e+06,17.70
292,1.0339,1.0408,1.8916e+06,17.75
293,1.0337,1.0411,1.8916e+06,17.82
294,1.0339,1.0412,1.8916e+06,17.89
295,1.0339,1.0411,1.8917e+06,17.95
296,1.0340,1.0410,1.8916e+06,18.01
297,1.0338,1.0408,1.8916e+06,18.07
298,1.0339,1.0410,1.8916e+06,18.14
299,1.0338,1.0412,1.8916e+06,18.21
300,1.0341,1.0409,1.8916e+06,18.27
301,1.0338,1.0407,1.8917e+06,18.33
302,1.0339,1.0406,1.8916e+06,18.41
303,1.0338,1.0408,1.8916e+06,18.47
304,1.0337,1.0409,1.8917e+06,18.55
305,1.0338,1.0409,1.8916e+06,18.63
306,1.0340,1.0410,1.8916e+06,18.70
307,1.0338,1.0412,1.8916e+06,18.77
308,1.0340,1.0405,1.8916e+06,18.84
309,1.0338,1.0408,1.8916e+06,18.91
310,1.0337,1.0408,1.8916e+06,18.96
311,1.0336,1.0408,1.8916e+06,19.02
312,1.0340,1.0408,1.8916e+06,19.07
313,1.0338,1.0411,1.8916e+06,19.13
314,1.0339,1.0412,1.8916e+06,19.19
315,1.0340,1.0410,1.8916e+06,19.24
316,1.0339,1.0409,1.8916e+06,19.29
317,1.0340,1.0408,1.8916e+06,19.35
318,1.0337,1.0410,1.8916e+06,19.41
319,1.0338,1.0409,1.8916e+06,19.49
320,1.0341,1.0408,1.8916e+06,19.57
321,1.0339,1.0409,1.8916e+06,19.62
322,1.0338,1.0409,1.8916e+06,19.68
323,1.0339,1.0406,1.8917e+06,19.76
324,1.0338,1.0407,1.8916e+06,19.82
325,1.0338,1.0405,1.8916e+06,19.90
326,1.0336,1.0408,1.8916e+06,19.95
327,1.0338,1.0409,1.8916e+06,20.02
328,1.0340,1.0410,1.8916e+06,20.08
329,1.0337,1.0406,1.8917e+06,20.14
330,1.0338,1.0409,1.8916e+06,20.21
331,1.0338,1.0410,1.8916e+06,20.27
332,1.0340,1.0406,1.8916e+06,20.34
333,1.0336,1.0406,1.8916e+06,20.40
334,1.0337,1.0410,1.8916e+06,20.46
335,1.0341,1.0406,1.8916e+06,20.54
336,1.0338,1.0405,1.8916e+06,20.60
337,1.0336,1.0415,1.8916e+06,20.67
338,1.0340,1.0405,1.8916e+06,20.76
339,1.0339,1.0406,1.8916e+06,20.84
340,1.0338,1.0406,1.8916e+06,20.89
341,1.0337,1.0409,1.8916e+06,20.95
342,1.0338,1.0409,1.8916e+06,21.00
343,1.0335,1.0407,1.8916e+06,21.06
344,1.0337,1.0409,1.8916e+06,21.13
345,1.0339,1.0409,1.8916e+06,21.19
346,1.0338,1.0412,1.8916e+06,21.26
347,1.0339,1.0407,1.8916e+06,21.33
348,1.0336,1.0409,1.8916e+06,21.39
349,1.0339,1.0408,1.8916e+06,21.46
350,1.0338,1.0409,1.8916e+06,21.52
351,1.0336,1.0412,1.8916e+06,21.59
352,1.0338,1.0411,1.8916e+06,21.66
353,1.0337,1.0408,1.8916e+06,21.74
354,1.0338,1.0408,1.8916e+06,21.81
355,1.0339,1.0407,1.8916e+06,21.88
356,1.0336,1.0409,1.8916e+06,21.96
357,1.0338,1.0409,1.8916e+06,22.01
358,1.0337,1.0409,1.8916e+06,22.07
359,1.0338,1.0410,1.8916e+06,22.13
360,1.0338,1.0407,1.8916e+06,22.18
361,1.0336,1.0410,1.8916e+06,22.24
362,1.0340,1.0408,1.8916e+06,22.29
363,1.0337,1.0410,1.8916e+06,22.35
364,1.0339,1.0409,1.8916e+06,22.41
365,1.0338,1.0406,1.8916e+06,22.47
366,1.0336,1.0409,1.8916e+06,22.54
367,1.0335,1.0409,1.8916e+06,22.63
368,1.0337,1.0411,1.8916e+06,22.70
369,1.0339,1.0409,1.8916e+06,22.77
370,1.0339,1.0408,1.8916e+06,22.83
371,1.0337,1.0409,1.8916e+06,22.89
372,1.0336,1.0410,1.8916e+06,22.95
373,1.0336,1.0409,1.8916e+06,23.01
374,1.0338,1.0409,1.8916e+06,23.07
375,1.0338,1.0409,1.8916e+06,23.14
376,1.0338,1.0406,1.8916e+06,23.21
377,1.0338,1.0407,1.8916e+06,23.27
378,1.0335,1.0410,1.8916e+06,23.33
379,1.0339,1.0408,1.8916e+06,23.40
380,1.0337,1.0408,1.8916e+06,23.46
381,1.0339,1.0410,1.8916e+06,23.52
382,1.0335,1.0410,1.8916e+06,23.59
383,1.0336,1.0409,1.8916e+06,23.67
384,1.0336,1.0408,1.8916e+06,23.73
385,1.0338,1.0407,1.8916e+06,23.80
386,1.0336,1.0410,1.8916e+06,23.87
387,1.0337,1.0410,1.8916e+06,23.94
388,1.0339,1.0407,1.8916e+06,24.01
389,1.0337,1.0407,1.8916e+06,24.07
390,1.0336,1.0408,1.8916e+06,24.14
391,1.0340,1.0404,1.8916e+06,24.19
392,1.0336,1.0408,1.8916e+06,24.25
393,1.0337,1.0408,1.8916e+06,24.30
394,1.0337,1.0404,1.8916e+06,24.37
395,1.0336,1.0409,1.8916e+06,24.42
396,1.0338,1.0407,1.8916e+06,24.48
397,1.0337,1.0407,1.8916e+06,24.54
398,1.0336,1.0407,1.8916e+06,24.60
399,1.0335,1.0409,1.8916e+06,24.68
400,1.0337,1.0413,1.8916e+06,24.74
401,1.0337,1.0406,1.8916e+06,24.80
402,1.0337,1.0408,1.8916e+06,24.86
403,1.0336,1.0409,1.8916e+06,24.92
404,1.0337,1.0407,1.8916e+06,24.99
405,1.0337,1.0410,1.8916e+06,25.06
406,1.0337,1.0409,1.8916e+06,25.13
407,1.0338,1.0408,1.8916e+06,25.20
408,1.0335,1.0409,1.8916e+06,25.26
409,1.0338,1.0405,1.8916e+06,25.33
410,1.0335,1.0410,1.8916e+06,25.39
411,1.0338,1.0409,1.8916e+06,25.45
412,1.0336,1.0411,1.8916e+06,25.52
413,1.0337,1.0410,1.8916e+06,25.58
414,1.0336,1.0410,1.8916e+06,25.65
415,1.0336,1.0411,1.8916e+06,25.71
416,1.0337,1.0411,1.8916e+06,25.77
417,1.0339,1.0407,1.8916e+06,25.83
418,1.0337,1.0407,1.8916e+06,25.88
