iter,tr_rmse,va_rmse,obj,time
0,1.0565,0.9291,3.8194e+05,0.04
1,0.9204,0.9017,3.4796e+05,0.09
2,0.8659,0.8753,3.0786e+05,0.14
3,0.8200,0.8650,2.7763e+05,0.19
4,0.7835,0.8629,2.5657e+05,0.24
5,0.7559,0.8649,2.4199e+05,0.30
6,0.7358,0.8685,2.3165e+05,0.35
7,0.7206,0.8727,2.2408e+05,0.39
8,0.7088,0.8770,2.1824e+05,0.44
9,0.6992,0.8806,2.1351e+05,0.49
10,0.6914,0.8841,2.0954e+05,0.54
11,0.6846,0.8872,2.0626e+05,0.60
12,0.6789,0.8902,2.0340e+05,0.66
13,0.6739,0.8923,2.0082e+05,0.72
14,0.6693,0.8949,1.9867e+05,0.78
15,0.6652,0.8973,1.9659e+05,0.84
16,0.6614,0.8992,1.9475e+05,0.90
17,0.6579,0.9013,1.9309e+05,0.96
18,0.6547,0.9033,1.9153e+05,1.03
19,0.6518,0.9049,1.9005e+05,1.09
20,0.6491,0.9071,1.8864e+05,1.15
21,0.6465,0.9087,1.8734e+05,1.21
22,0.6440,0.9098,1.8615e+05,1.27
23,0.6417,0.9118,1.8505e+05,1.33
24,0.6396,0.9134,1.8393e+05,1.37
25,0.6375,0.9148,1.8296e+05,1.42
26,0.6354,0.9166,1.8208e+05,1.46
27,0.6337,0.9177,1.8116e+05,1.50
28,0.6320,0.9193,1.8029e+05,1.54
29,0.6302,0.9207,1.7954e+05,1.59
30,0.6287,0.9220,1.7875e+05,1.63
31,0.6273,0.9231,1.7800e+05,1.68
32,0.6258,0.9245,1.7732e+05,1.72
33,0.6244,0.9257,1.7669e+05,1.76
34,0.6232,0.9270,1.7606e+05,1.81
35,0.6219,0.9282,1.7544e+05,1.85
36,0.6208,0.9295,1.7485e+05,1.90
37,0.6195,0.9306,1.7436e+05,1.96
38,0.6183,0.9314,1.7379e+05,2.01
39,0.6174,0.9329,1.7329e+05,2.06
40,0.6165,0.9337,1.7277e+05,2.10
41,0.6153,0.9350,1.7239e+05,2.15
42,0.6145,0.9359,1.7190e+05,2.19
43,0.6136,0.9370,1.7147e+05,2.24
44,0.6128,0.9382,1.7101e+05,2.29
45,0.6118,0.9390,1.7067e+05,2.33
46,0.6109,0.9402,1.7031e+05,2.38
47,0.6102,0.9407,1.6991e+05,2.43
48,0.6094,0.9417,1.6953e+05,2.47
49,0.6086,0.9428,1.6921e+05,2.52
50,0.6080,0.9434,1.6886e+05,2.56
51,0.6072,0.9444,1.6854e+05,2.61
52,0.6065,0.9455,1.6826e+05,2.66
53,0.6059,0.9463,1.6791e+05,2.71
54,0.6053,0.9471,1.6763e+05,2.76
55,0.6047,0.9478,1.6734e+05,2.81
56,0.6041,0.9486,1.6703e+05,2.86
57,0.6035,0.9495,1.6677e+05,2.91
58,0.6030,0.9500,1.6648e+05,2.95
59,0.6024,0.9509,1.6623e+05,3.00
60,0.6017,0.9518,1.6601e+05,3.04
61,0.6013,0.9525,1.6573e+05,3.09
62,0.6007,0.9532,1.6554e+05,3.14
63,0.6002,0.9541,1.6528e+05,3.19
64,0.5997,0.9547,1.6506e+05,3.24
65,0.5993,0.9551,1.6480e+05,3.28
66,0.5988,0.9559,1.6462e+05,3.33
67,0.5983,0.9567,1.6441e+05,3.38
68,0.5978,0.9574,1.6420e+05,3.42
